Nome: SOLEDADE
Codigo Estacao: A837
Latitude: -28.859211
Longitude: -52.542387
Altitude: 660.44
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;372,8;936,8;21,7;3,5;
2010-02-28;199,6;937,4;22,9;3,9;
2010-03-31;58,4;938;20,8;3,5;
2010-04-30;168,4;941,3;17,6;4,2;
2010-05-31;124,2;941,2;14;4;
2010-06-30;133,4;942,8;13,2;4,3;
2010-07-31;247;942,7;12,6;4,9;
2010-08-31;51,2;943,1;12,8;5;
2010-09-30;297,6;939,6;15,2;4,6;
2010-10-31;107;939;15,7;4;
2010-11-30;117,6;936,2;18,6;4,1;
2010-12-31;180,6;934,7;20,8;4,5;
2011-01-31;124,2;935,2;22,4;3,5;
2011-02-28;207,6;937,2;21,3;3,9;
2011-03-31;222,2;938,8;19,8;4,2;
2011-04-30;90,4;939,7;18;3,6;
2011-05-31;40,2;942,3;14;4,1;
2011-06-30;193,8;940,7;11,6;4,1;
2011-07-31;297,2;941,1;12,1;4,3;
2011-08-31;252,4;940,1;12,8;5,5;
2011-09-30;45,4;942,1;15,1;4,6;
2011-10-31;145;937,6;17,6;4,5;
2011-11-30;26,4;938;19,6;4,7;
2011-12-31;36,6;936,1;20,4;4,5;
2012-01-31;1,4;936,9;21,7;4,3;
2012-02-29;null;null;null;null;
2012-03-31;null;null;18;null;
2012-04-30;71;939,3;17,4;3,7;
2012-05-31;39,8;942,5;16;3,9;
2012-06-30;101;941,4;13,8;3,7;
2012-07-31;229,8;941,8;11,5;4,5;
2012-08-31;76,8;943,9;17,2;5,7;
2012-09-30;231;941,2;15,9;5,2;
2012-10-31;200;937,6;18,4;4,4;
2012-11-30;68,2;937,4;20,7;4,6;
2012-12-31;314,6;935,3;22,4;4,4;
2013-01-31;82,2;938,3;20,7;3,5;
2013-02-28;312;937,4;20,8;2,1;
2013-03-31;158,2;939,2;18,1;2,6;
2013-04-30;96,4;940,6;17,8;1,7;
2013-05-31;171,2;940,4;14,7;1,8;
2013-06-30;98,2;941;13,1;2,1;
2013-07-31;66;943,2;12,3;2,7;
2013-08-31;253,4;942,1;11,8;4,2;
2013-09-30;178,2;940,6;15,1;3,4;
2013-10-31;157;939,5;16,9;3,4;
2013-11-30;96;937,2;20,2;4,4;
2013-12-31;90,6;935,6;22,4;3;
2014-01-31;220,2;938,1;22,8;2,8;
2014-02-28;249,6;938,4;22,5;3;
2014-03-31;73,4;938,6;19,8;2,7;
2014-04-30;103,4;940,8;18;3,5;
2014-05-31;172,6;941;14,4;2;
2014-06-30;102,6;940,7;13,1;3,3;
2014-07-31;21;943,8;13,4;3,5;
2014-08-31;48,6;942,2;14,9;3;
2014-09-30;264,8;939;16,5;3,9;
2014-10-31;252;939,8;19;3,4;
2014-11-30;76,6;937,6;20,6;3,1;
2014-12-31;207,8;937;21,2;2,9;
2015-01-31;null;null;null;null;
2015-02-28;null;null;null;null;
2015-03-31;63,2;939,2;20,7;4;
2015-04-30;142,6;940,7;18,2;3,9;
2015-05-31;152,2;941,8;15,5;4,2;
2015-06-30;270,6;943;13,7;4;
2015-07-31;258,2;941,4;13,5;4,3;
2015-08-31;69,6;940,6;18,1;5;
2015-09-30;206,6;938,1;15,8;4,5;
2015-10-31;216;938,7;17,3;5;
2015-11-30;151;936,7;18,5;4,8;
2015-12-31;364,8;936,7;21;4,3;
2016-01-31;76,2;937,1;23;4,2;
2016-02-29;221,6;937,9;22,6;3,5;
2016-03-31;297;939,9;19,4;4;
2016-04-30;188;939,4;20;4,2;
2016-05-31;53;942,6;12,6;3,9;
2016-06-30;15,6;944,4;10,7;3,3;
2016-07-31;188,4;941,8;13,1;4,4;
2016-08-31;96,8;941,1;14,5;4,1;
2016-09-30;76,2;942;14,1;4,3;
2016-10-31;317;938,6;17;4,8;
2016-11-30;109,8;938,3;18,8;4,2;
2016-12-31;null;null;21;null;
2017-01-31;null;null;null;null;
2017-02-28;null;null;null;null;
2017-03-31;null;null;null;null;
2017-04-30;197,8;940,7;17,3;4,4;
2017-05-31;314;940,5;15,8;4,7;
2017-06-30;184;942;14;4,7;
2017-07-31;31,8;946,6;14,6;4,5;
2017-08-31;180,8;941,2;15;4,8;
2017-09-30;111,8;941,7;19,1;4,9;
2017-10-31;244,2;937,5;17,5;4,8;
2017-11-30;null;null;null;null;
2017-12-31;87,2;936,3;21,8;4,4;
2018-01-31;245,8;937,1;21,3;4,2;
2018-02-28;149;938,1;20,6;3,7;
2018-03-31;155,6;937,4;20,2;3,6;
