Nome: TORRES
Codigo Estacao: A808
Latitude: -29.35027777
Longitude: -49.73333333
Altitude: 8.44
Situacao: Fechada
Data Inicial: 2010-01-01
Data Final: 2024-10-09
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;171,4;1010,7;24,2;2,6;
2010-02-28;160,6;1010,7;25,6;2,8;
2010-03-31;174,8;1011,9;23,7;2,9;
2010-04-30;147;1016,2;20,8;3;
2010-05-31;284,6;1016,5;18,3;3,1;
2010-06-30;77,8;1019,3;15,8;2,8;
2010-07-31;94,2;1019,3;15;2,8;
2010-08-31;58;1020;14,3;3;
2010-09-30;131,6;1016;17,2;3,2;
2010-10-31;41,4;1014,7;17,9;3;
2010-11-30;150,4;1011,2;19,9;3,5;
2010-12-31;75,6;1009,6;22,3;3,3;
2011-01-31;326,8;1008,9;24,4;2,3;
2011-02-28;190,4;1011,1;24,4;2,7;
2011-03-31;125,2;1014,5;21,5;2,8;
2011-04-30;104,2;1014,5;20,4;2,3;
2011-05-31;63;1017,9;17,8;2,6;
2011-06-30;168,8;1016,5;14,4;2,6;
2011-07-31;274,8;1017,9;13,3;2,6;
2011-08-31;340;1016,7;14,8;3,2;
2011-09-30;100,2;1019,3;15,5;3,3;
2011-10-31;83;1013,3;18,7;3,5;
2011-11-30;33,8;1014,2;19,8;3,5;
2011-12-31;174,8;1011,1;21,2;3;
2012-01-31;237,8;1011,6;22,7;2,9;
2012-02-29;null;null;null;null;
2012-03-31;null;null;null;null;
2012-04-30;53,2;1014;20,3;2,8;
2012-05-31;21,6;1018,1;18,7;2,4;
2012-06-30;69,8;1017,2;14,9;2,2;
2012-07-31;131,2;1018,2;13,9;2,9;
2012-08-31;92,8;1020,3;17,2;3,2;
2012-09-30;201,6;1017,4;17,8;3,5;
2012-10-31;129;1012,6;19,9;3,3;
2012-11-30;35;1012,9;21,1;3,2;
2012-12-31;237,6;1009,1;23,3;3;
2013-01-31;151,2;1013;23,4;3,4;
2013-02-28;300,6;1011,4;23,8;2,7;
