Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.29
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;168,6;1001,3;25,6;,7;
2010-02-28;303;1001;25,6;1,2;
2010-03-31;134,2;1003,3;24,1;1,1;
2010-04-30;31,8;1007,8;19,4;1,6;
2010-05-31;188,2;1008,7;15,6;1,7;
2010-06-30;5,6;1009,6;14,2;2,1;
2010-07-31;126,6;1009,7;12,8;2,2;
2010-08-31;8,2;1010;14;2,6;
2010-09-30;162;1006,1;16,8;2,5;
2010-10-31;46;1006,2;18,8;2,6;
2010-11-30;22,6;1003;22,1;2;
2010-12-31;94,2;999,3;25;2,4;
2011-01-31;119;999,6;26,6;1,6;
2011-02-28;76;1002,3;25;1,9;
2011-03-31;79,8;1004,1;23,1;2;
2011-04-30;58;1005,5;20,4;1,3;
2011-05-31;56,4;1009,4;16,3;2;
2011-06-30;57;1007,9;13,3;2;
2011-07-31;57,6;1008,7;12,5;2,1;
2011-08-31;97,2;1007,3;14,2;2,8;
2011-09-30;75;1008,6;17,4;3,1;
2011-10-31;179;1004,2;19,3;1,7;
2011-11-30;54,2;1003,3;23,4;2,5;
2011-12-31;173,6;1002;23,9;3,1;
2012-01-31;51,4;1001,8;26;3,2;
2012-02-29;99,4;1001,1;26,6;3,2;
2012-03-31;43;1004,8;23,3;2,7;
2012-04-30;143;1006,1;19,5;2,4;
2012-05-31;40;1008,3;18;2,9;
2012-06-30;39,2;1008,3;14,1;2,6;
2012-07-31;30,8;1010,1;11,5;2,8;
2012-08-31;137;1008,9;18;3,9;
2012-09-30;null;null;null;null;
2012-10-31;null;null;null;null;
2012-11-30;35,4;1003;24,3;3,4;
2012-12-31;309;999,5;24,8;3,7;
2013-01-31;150,8;1003,6;24,4;3,2;
2013-02-28;261;1002,3;24,5;3,2;
2013-03-31;150,8;1005,2;21,2;3,1;
2013-04-30;86,6;1006,6;19,8;2,6;
2013-05-31;96,6;1007,1;15,9;2,7;
2013-06-30;29,6;1008,6;13,8;2,3;
2013-07-31;97,2;1010,4;13,8;3,1;
2013-08-31;15,8;1010,5;12,8;3,4;
2013-09-30;45,8;1007,3;17;3,7;
2013-10-31;80,4;1005,6;20,4;3,8;
2013-11-30;216,6;1002,1;22,6;3,9;
2013-12-31;91,4;1000;26,9;2,9;
2014-01-31;154,8;1001,8;26,5;3,2;
2014-02-28;294;1002,6;25,2;3,6;
2014-03-31;199,6;1004,2;21,5;2,6;
2014-04-30;82,4;1006,8;20;3,2;
2014-05-31;142,8;1007,9;16,2;2,7;
2014-06-30;83,2;1008,7;13,8;3,2;
2014-07-31;89,6;1010,1;14,8;3,2;
2014-08-31;24,2;1008,5;16,4;3,3;
2014-09-30;213,2;1004,8;18;4;
2014-10-31;132,4;1004,4;21,9;4,1;
2014-11-30;51,2;1003,1;23,1;3,3;
2014-12-31;437,2;1001,9;23,7;3,2;
2015-01-31;210,6;1003,2;25;2,8;
2015-02-28;143;1002,9;25;2,7;
2015-03-31;92,4;1004,9;23,5;2,3;
2015-04-30;28,4;1006,8;21,1;2,6;
2015-05-31;106,4;1008,5;17,6;2,7;
2015-06-30;55;1009,2;15,6;2,6;
2015-07-31;77;1008,6;14,1;2,6;
2015-08-31;167,6;1004,8;18,4;2,8;
2015-09-30;60;1005;17,2;2,4;
2015-10-31;317,2;1005,3;18,6;2,6;
2015-11-30;245,8;1002,7;21,1;3;
2015-12-31;360,6;1001,3;23,9;1,9;
2016-01-31;115,6;1001,7;26,7;1,5;
2016-02-29;92,8;1002;25,9;1,1;
2016-03-31;124,2;1006,7;21,5;1,5;
2016-04-30;null;null;null;null;
2016-05-31;null;null;null;null;
2016-06-30;null;null;null;null;
2016-07-31;null;null;null;null;
2016-08-31;84;1007,9;15,9;3,3;
2016-09-30;25,4;1010;15,9;3,3;
2016-10-31;239,6;1004,6;19,5;null;
2016-11-30;84,8;1004,4;22,1;3,3;
2016-12-31;79,4;1001,1;25,1;3,3;
2017-01-31;87;1002;25,3;3,2;
2017-02-28;null;1001,8;25,1;2,4;
2017-03-31;90,6;1004,7;23,1;3,2;
2017-04-30;281,4;1006,3;19,5;3,2;
2017-05-31;247,6;1006,4;17,4;3,3;
2017-06-30;81;1008,2;15,1;3,3;
2017-07-31;79,4;1011,6;16,4;3,7;
2017-08-31;146,2;1006,4;16,7;4;
2017-09-30;null;1007,3;18,8;3,6;
2017-10-31;84,2;1003,2;19,6;4;
2017-11-30;88,8;1002,9;21,9;3,3;
2017-12-31;70,8;1001,1;26;3,4;
2018-01-31;116,2;1001,4;25,6;3,2;
2018-02-28;53,4;1003,1;25,1;3,2;
2018-03-31;132,2;1002,9;23;2,9;
2018-04-30;59,8;1006,3;23,4;3,1;
2018-05-31;169,4;1008;17,5;3,3;
2018-06-30;52,8;1010,7;11,7;null;
2018-07-31;81,8;1010,1;12,7;2,9;
2018-08-31;60,2;1010,7;12,9;3,6;
2018-09-30;147;1004,8;19,3;3,8;
2018-10-31;49;1004,9;20,4;4;
2018-11-30;null;1003,2;23,4;3,8;
2018-12-31;null;1002,6;24,9;3,2;
2019-01-31;685,4;1002,3;25;3,4;
2019-02-28;58,2;1003,4;24,5;2,9;
2019-03-31;61,4;1006;22,1;2,9;
2019-04-30;162,4;1005,6;20,7;2,6;
2019-05-31;116,6;1006,8;17,8;3;
2019-06-30;15,6;1007,5;17,1;3,1;
2019-07-31;91;1010;13,1;null;
2019-08-31;36,2;1011,7;14,3;null;
2019-09-30;19,4;1007,5;17;3,6;
2019-10-31;219,6;1004,3;20,7;4,2;
2019-11-30;217,2;1002,5;23,5;3,7;
2019-12-31;83,2;1002,3;24,3;2,8;
2020-01-31;159,4;1001,6;25,4;3,2;
2020-02-29;105;1003,8;24,6;2,9;
2020-03-31;50;1004,6;25,4;2,8;
2020-04-30;36,6;1008,3;19,6;2,9;
2020-05-31;310,6;1008,1;16;3;
2020-06-30;103;1006,1;15,3;3,5;
2020-07-31;16;1008,7;12,5;3,2;
2020-08-31;24;1008,4;16,6;3,7;
2020-09-30;96,8;1006,8;17;3,4;
2020-10-31;null;null;null;null;
2020-11-30;null;null;null;null;
2020-12-31;null;null;24,6;null;
2021-01-31;null;1001;24,9;3,2;
2021-02-28;62;1003,1;24;2,5;
2021-03-31;165;1004,1;22,9;2,6;
2021-04-30;42,4;1007,2;21,1;3,2;
2021-05-31;176;1008,8;14,9;2,5;
2021-06-30;120,6;1010,5;13;2,9;
2021-07-31;23,8;1011,3;13,5;3;
2021-08-31;26,6;1009;15,8;3,3;
2021-09-30;128,8;1005,8;18,1;3,7;
2021-10-31;87,8;1005,7;20;3,3;
2021-11-30;78,8;1002,9;23,4;3,4;
2021-12-31;31,6;1002,2;25,7;3,5;
2022-01-31;22,8;1000,2;28,8;3,8;
2022-02-28;46,2;1001,9;26,4;3,1;
2022-03-31;174,6;1004,1;21,8;3,1;
2022-04-30;140,8;1005,6;19,1;3,1;
2022-05-31;46,6;1009,5;14,6;2,6;
2022-06-30;35,2;1009,7;11,8;2,5;
2022-07-31;103,8;1005,2;16,4;3,6;
2022-08-31;100,4;1009,9;14,4;3,6;
2022-09-30;25,2;1008,9;15,8;3,4;
2022-10-31;91,6;1005,7;19;3,6;
2022-11-30;31,8;1006;23,1;3,7;
2022-12-31;39,4;1001,2;26,7;3,2;
2023-01-31;16,8;1001,2;28,4;3,2;
2023-02-28;null;1002,2;26,3;3,1;
2023-03-31;191,4;1003,3;26,3;3;
2023-04-30;16,8;1005,9;20,2;2,9;
2023-05-31;126,8;1008,5;17,5;null;
2023-06-30;41,8;1009,8;16;null;
2023-07-31;24;1009,2;14,8;null;
2023-08-31;14,2;1006,5;16,8;null;
2023-09-30;259,2;1003,9;17,7;3,8;
2023-10-31;173,4;1003,7;19,3;3,6;
2023-11-30;71,6;1000,9;22,7;3,9;
2023-12-31;266,4;1002,2;24,3;3,6;
2024-01-31;92;1003,1;24,9;3;
2024-02-29;null;1003,1;27,5;3,2;
2024-03-31;426;1003,6;24,2;3,2;
2024-04-30;266,2;1003,7;21,3;3,3;
2024-05-31;57;1007,7;14,8;null;
2024-06-30;15,8;1005,7;17,4;null;
2024-07-31;2,6;1013,1;13;null;
2024-08-31;145;1008,8;14,8;null;
2024-09-30;64,8;1004,7;18,7;null;
2024-10-31;100;1004,8;21,4;null;
2024-11-30;181,6;1002,7;23,4;null;
2024-12-31;74,2;1002,5;23,1;null;
2025-01-31;86,2;1001,4;26,7;null;
2025-02-28;null;1001,6;28;null;
2025-03-31;null;null;null;null;
2025-04-30;null;null;null;null;
2025-05-31;null;null;18;null;
2025-06-30;null;null;null;null;

