Nome: URUSSANGA
Codigo Estacao: A814
Latitude: -28.53249999
Longitude: -49.31527777
Altitude: 40.56
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;283,6;1007,3;24,2;,6;
2010-02-28;149,8;1007,4;25,7;,7;
2010-03-31;199,6;1008,3;23,3;,6;
2010-04-30;158,6;1012,8;20,3;,6;
2010-05-31;359;1012,9;17,9;,5;
2010-06-30;71,6;1016;15,2;,5;
2010-07-31;112;1016;15,7;,7;
2010-08-31;73;1016,5;15,5;,7;
2010-09-30;95,2;1012,5;17,9;1;
2010-10-31;86,2;1011,1;18,3;,8;
2010-11-30;208,4;1007,5;20,6;,8;
2010-12-31;82,4;1006;22,7;,7;
2011-01-31;422,2;1004,8;24,5;,5;
2011-02-28;null;null;null;null;
2011-03-31;151,6;1010,9;22,6;,9;
2011-04-30;49,8;1011,1;21;,8;
2011-05-31;100,4;1014,4;17,6;,8;
2011-06-30;103,2;1013,1;14,8;,9;
2011-07-31;null;null;12;null;
2011-08-31;null;1013,2;15,3;1,1;
2011-09-30;127,8;1015,7;17;1,2;
2011-10-31;75,2;1009,6;20,5;1,2;
2011-11-30;35;1010,6;21;1,1;
2011-12-31;191,2;1007,5;22,4;1;
2012-01-31;248,4;1008;23,7;,9;
2012-02-29;174,2;1007;26;,8;
2012-03-31;78;1009,8;23,4;,8;
2012-04-30;30,2;1010,5;20,9;,7;
2012-05-31;45,4;1014,7;18,5;,7;
2012-06-30;106,8;1013,8;15,8;,6;
2012-07-31;106,6;1014,7;14,8;,8;
2012-08-31;22,4;1016,9;19,7;1,2;
2012-09-30;168,6;1013,8;18,8;1,2;
2012-10-31;167,8;1008,9;22;1,1;
2012-11-30;60,4;1009,1;22,5;1,1;
2012-12-31;95,8;1005,5;25,5;1;
2013-01-31;125,8;1009,3;23,8;1;
2013-02-28;355,2;1007,8;24,2;,7;
2013-03-31;153,8;1010,4;22,1;,7;
2013-04-30;46,4;1011,8;20,5;,7;
2013-05-31;36,2;1012;17,7;,7;
2013-06-30;100,4;1013,4;16,4;,5;
2013-07-31;68;1016;14,5;,7;
2013-08-31;372,4;1014,9;15,2;1;
2013-09-30;129,6;1012,6;18,4;1;
2013-10-31;74,2;1011,9;20;1,1;
2013-11-30;86,4;1009,2;22,6;1,3;
2013-12-31;173,6;1006,5;24,1;,9;
2014-01-31;267,4;1008;25,9;,8;
2014-02-28;210,4;1008,5;26;,9;
2014-03-31;186,8;1009,6;23,1;,6;
2014-04-30;210,8;1012,6;21,2;,6;
2014-05-31;96,4;1012,9;17,8;,5;
2014-06-30;278,4;1013,4;16,3;,5;
2014-07-31;67,2;1016,9;16,3;,5;
2014-08-31;93,4;1014,5;16,8;,7;
2014-09-30;140,4;1011,7;19,3;,8;
2014-10-31;145,2;1011,9;21,7;1;
2014-11-30;59,4;1008,9;23,1;,9;
2014-12-31;190,4;1007,5;24,5;,7;
2015-01-31;257,4;1008,7;25,5;,7;
2015-02-28;243,2;1008,4;24,2;,6;
2015-03-31;208,8;1009,9;23,2;,6;
2015-04-30;118,4;1012,2;21;,4;
2015-05-31;119;1014,4;18,5;,5;
2015-06-30;null;1015,3;16,9;,6;
2015-07-31;null;1013,4;16;,7;
2015-08-31;41,4;1012,8;19,9;1;
2015-09-30;277,6;1010,4;17,9;1;
2015-10-31;196,2;1011,9;19;1;
2015-11-30;null;1008,8;21;,9;
2015-12-31;211,6;1007,5;23,9;,9;
2016-01-31;74,8;1008,3;24,3;,9;
2016-02-29;286,6;1008,4;24,7;,8;
2016-03-31;251,8;1010,9;22,5;,8;
2016-04-30;136,2;1009,9;23;,1;
2016-05-31;52,4;1015,1;15,9;0;
2016-06-30;18,2;1017,9;12,1;0;
2016-07-31;140,2;1014,4;14,7;0;
2016-08-31;101,2;1013,3;16;0;
2016-09-30;27;1013,7;17,2;,6;
2016-10-31;159,4;1011,2;19,5;,7;
2016-11-30;52,4;1009,8;21,4;,4;
2016-12-31;257,6;1007,5;23,6;,2;
2017-01-31;293,8;1008,1;24,8;,1;
2017-02-28;221,2;1007,7;25,6;,1;
2017-03-31;142,8;1010,9;22,8;,1;
2017-04-30;81,6;1012,6;20;,1;
2017-05-31;227,2;1013,1;18,8;,1;
2017-06-30;147;1014,3;16,2;,1;
2017-07-31;null;null;null;null;
2017-08-31;null;null;null;null;
2017-09-30;null;null;null;null;
2017-10-31;null;null;null;null;
2017-11-30;119,6;1008,4;20,5;null;
2017-12-31;267,6;1007,5;23,1;1,1;
2018-01-31;251,6;1007,8;23,6;1,1;
2018-02-28;81,6;1009,2;22,8;1,1;
2018-03-31;148,8;1007,9;22,9;,9;
2018-04-30;36,6;1012,7;22,3;1;
2018-05-31;85,6;1014,2;18,1;1;
2018-06-30;98,2;1014,8;15,3;1;
2018-07-31;143,8;1015;15,6;null;
2018-08-31;60,4;1015,8;14,7;null;
2018-09-30;170,4;1011,7;18,8;1,1;
2018-10-31;174,6;1010,9;19,9;1,2;
2018-11-30;85,2;1009,6;22,1;1,4;
2018-12-31;217;1008,6;23,3;1,3;
2019-01-31;261;1008,8;25,6;1,1;
2019-02-28;null;null;null;null;
2019-03-31;null;null;null;null;
2019-04-30;null;null;null;null;
2019-05-31;null;null;null;null;
2019-06-30;null;null;null;null;
2019-07-31;null;null;null;null;
2019-08-31;null;null;null;null;
2019-09-30;null;null;null;null;
2019-10-31;null;1010,6;21,5;1,4;
2019-11-30;82,8;1009,1;22;1,4;
2019-12-31;84,4;1007,7;23,7;1,3;
2020-01-31;null;null;23,4;null;
2020-02-29;null;null;23,4;null;
2020-03-31;33,4;1011,2;23,4;1;
2020-04-30;47,8;1012,6;19,7;1,1;
2020-05-31;14,6;1012,4;17,2;1,1;
2020-06-30;122,8;1012,8;17;1;
2020-07-31;150,8;1013,9;14,6;1,1;
2020-08-31;82,6;1015,2;16,3;1,2;
2020-09-30;164,2;1013,2;18,2;1,2;
2020-10-31;56;1010,8;20,5;1,4;
2020-11-30;242,6;1010,9;21,2;1,2;
2020-12-31;162,4;1008,2;23;1,1;
2021-01-31;255,2;1007,8;24;1,2;
2021-02-28;129,8;1007,8;23,7;1,1;
2021-03-31;146,6;1008,5;23,3;1;
2021-04-30;33,8;1013,3;20,7;1;
2021-05-31;124,4;1013,3;16,1;1;
2021-06-30;169,6;1015,2;15,2;1;
2021-07-31;30,2;1016,6;14,2;1,1;
2021-08-31;40,6;1015,8;17;1,1;
2021-09-30;null;null;null;null;
2021-10-31;99,6;1012;19,2;1,3;
2021-11-30;107,8;1008,7;21,3;1,2;
2021-12-31;72;1008,5;22,4;1,2;
2022-01-31;207,8;1007,2;25,1;1,1;
2022-02-28;93,6;1007,7;24,5;1,1;
2022-03-31;266,4;1009,2;22,7;1;
2022-04-30;79,8;1011,5;19,9;,9;
2022-05-31;352,2;1012,8;16,4;1;
2022-06-30;208,8;1014;13,9;1;
2022-07-31;31,4;1012,5;17,2;null;
2022-08-31;228;1014,7;15,8;1,2;
2022-09-30;null;null;null;null;
2022-10-31;135;1010,7;19,1;1,1;
2022-11-30;123;1012,4;19,8;1,2;
2022-12-31;231,8;1007,4;22,9;1,2;
2023-01-31;178,4;1007,7;24,1;1,1;
2023-02-28;219,4;1007,8;23,5;1,1;
2023-03-31;216,4;1009,5;24,2;1,1;
2023-04-30;82,2;1011,2;20,1;,9;
2023-05-31;null;1013,5;18,6;,9;
2023-06-30;null;1014,6;16,5;1;
2023-07-31;70,6;1015,9;16;1;
2023-08-31;83,6;1012,6;16,9;1,1;
2023-09-30;209,2;1010,4;19,4;1,3;
2023-10-31;457,4;1010;18,6;1,1;
2023-11-30;233,6;1007,9;21,1;1,2;
2023-12-31;138,8;1008;24,2;1,2;
2024-01-31;349,2;1008,9;23,1;1,1;
2024-02-29;169,8;1009,6;25;1,1;
2024-03-31;237,6;1009,7;23,8;1;
2024-04-30;184,6;1010,4;21,6;,9;
2024-05-31;317,2;1011,6;17,6;1;
2024-06-30;169,6;1012,5;17,4;,9;
2024-07-31;158,4;1018,3;14,4;1;
2024-08-31;null;1015,5;15,1;1,1;
2024-09-30;null;null;20;null;
2024-10-31;null;null;21;null;
2024-11-30;null;null;22,2;null;
2024-12-31;158,4;1007,6;21,8;1,1;
2025-01-31;null;1006,9;23,5;1,2;
2025-02-28;null;null;25,7;null;
2025-03-31;null;null;null;null;
2025-04-30;null;null;null;null;
2025-05-31;null;null;null;null;
2025-06-30;null;null;null;null;

