Nome: VACARIA
Codigo Estacao: A880
Latitude: -28.51361111
Longitude: -50.88277777
Altitude: 969.89
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;174,6;904,4;19,8;3,3;
2010-02-28;317,2;905,3;20,7;3,4;
2010-03-31;170,2;905,1;18,4;2,9;
2010-04-30;187;908,3;15,4;3,3;
2010-05-31;163,4;907,5;12,3;3,1;
2010-06-30;113,4;909,6;10,9;3,7;
2010-07-31;148,8;909,6;11,1;4,2;
2010-08-31;73,2;909,6;11,6;3,9;
2010-09-30;186,4;906,7;13,6;4,1;
2010-10-31;136,6;905,5;13,7;3,2;
2010-11-30;217,2;903,1;16,3;3,2;
2010-12-31;167,8;902,1;18,4;3,4;
2011-01-31;245,2;902,7;20,3;2,9;
2011-02-28;196,8;904,6;19,8;3,1;
2011-03-31;169,6;906,3;17,4;3,6;
2011-04-30;137,2;906,8;15,9;3,1;
2011-05-31;105;908,7;11,9;3,3;
2011-06-30;197,6;907,1;9,5;3,5;
2011-07-31;292,4;907,6;10,7;3,5;
2011-08-31;305,6;906,9;11,2;4,5;
2011-09-30;88,6;909,1;12,5;4,1;
2011-10-31;140,8;904,6;15,6;3,7;
2011-11-30;40,8;905,3;16,8;3,6;
2011-12-31;78,8;903,3;17,6;3,4;
2012-01-31;null;null;null;null;
2012-02-29;null;null;null;null;
2012-03-31;null;null;15,9;null;
2012-04-30;54,6;906;15,7;3;
2012-05-31;23,8;909,3;13,2;3,3;
2012-06-30;148;907,9;11,2;3,3;
2012-07-31;224,8;908,1;9,9;3,6;
2012-08-31;40,8;911,3;14,5;4,3;
2012-09-30;154,6;908,2;14,1;4,1;
2012-10-31;142,8;905,1;16,6;4;
2012-11-30;70;904,7;18,2;3,4;
2012-12-31;180,8;903;20,6;3,6;
2013-01-31;108;905,5;18,5;3,2;
2013-02-28;147,4;904,8;19,1;3;
2013-03-31;150,4;906,2;16,6;2,9;
2013-04-30;65,6;907,5;15,2;3,1;
2013-05-31;91,6;907,1;12,7;3,4;
2013-06-30;165,8;907,5;11,6;3,2;
2013-07-31;50,8;909,5;10,2;3,5;
2013-08-31;289,2;908,3;11,1;3,7;
2013-09-30;204,8;907,5;13,4;3,7;
2013-10-31;159,6;906,5;14,7;3,6;
2013-11-30;102,6;904,8;17,6;4,2;
2013-12-31;70,2;903,1;20,1;3,3;
2014-01-31;199,8;905,7;21,1;3,3;
2014-02-28;97,6;906,1;20,8;3,5;
2014-03-31;192,4;906;17,7;3,3;
2014-04-30;146,8;907,9;15,8;3,2;
2014-05-31;206,8;907,6;12,4;3;
2014-06-30;360;907,5;11,8;3,8;
2014-07-31;89,4;910,6;11,2;3,8;
2014-08-31;104,8;909;12,5;3,5;
2014-09-30;242,2;906,3;14,9;4,1;
2014-10-31;195,8;907,2;17,1;3,6;
2014-11-30;147,2;905;18,1;3,2;
2014-12-31;302,2;904,5;19,3;3,4;
2015-01-31;136,8;906,2;20,2;3,1;
2015-02-28;176,2;905,3;19,4;2,7;
2015-03-31;175,4;906,4;18,4;2,5;
2015-04-30;123,2;907,6;15,9;2,6;
2015-05-31;137;908,6;13,4;3,2;
2015-06-30;168,8;909,8;11,3;3,5;
2015-07-31;360;908;12;3;
2015-08-31;50,8;908,2;15,5;3,7;
2015-09-30;248,4;904,9;14,3;3,1;
2015-10-31;338,6;905,9;15,9;3,6;
2015-11-30;149,8;903,8;17,2;3,3;
2015-12-31;275,4;904,3;19,8;3,4;
2016-01-31;175,4;904,7;20,5;3,1;
2016-02-29;159;905,4;20,6;2,8;
2016-03-31;null;null;17,8;null;
2016-04-30;null;null;null;null;
2016-05-31;72,6;908,6;11,7;2,6;
2016-06-30;11,4;910,4;8;2,6;
2016-07-31;202,6;908,3;10,7;3,6;
2016-08-31;127,8;907,7;12,1;null;
2016-09-30;71;908,2;12,5;3,2;
2016-10-31;310,8;905,7;14,9;null;
2016-11-30;62,6;905,2;16,9;3;
2016-12-31;179,8;904,1;19,3;3,2;
2017-01-31;205,6;905,2;20,2;2,8;
2017-02-28;102,2;905,3;20,7;3,3;
2017-03-31;71,2;906,8;18,1;2,9;
2017-04-30;160,6;907,7;15,3;3,4;
2017-05-31;247,4;907,6;14;3,5;
2017-06-30;156;908,8;11,8;3,6;
2017-07-31;28;913,4;11,6;3,8;
2017-08-31;100,4;908,2;12,8;3,9;
2017-09-30;120,2;909,1;17,2;3,6;
2017-10-31;208,6;904,7;15,4;3,7;
2017-11-30;156,6;903,8;16,3;3,3;
2017-12-31;161,2;903,7;19,7;3;
2018-01-31;178,6;904,5;19,3;3;
2018-02-28;97;905,3;18,5;2,7;
2018-03-31;172,2;904,6;18,9;2,6;
2018-04-30;49,6;908,9;17,6;2,6;
2018-05-31;153,4;909;13,2;3,4;
2018-06-30;206;908,8;10,7;3;
2018-07-31;184,6;908,9;11,9;3,2;
2018-08-31;139;909,2;10,2;3,3;
2018-09-30;235;906,2;14,8;3,1;
2018-10-31;256,4;905,6;15,4;3,2;
2018-11-30;201,6;905,2;18;3,4;
2018-12-31;141,8;905,2;19,4;2,8;
2019-01-31;179,8;906,4;21,6;3,1;
2019-02-28;132,8;905,3;19;2,4;
2019-03-31;133,6;907,3;17,8;2,6;
2019-04-30;122;906,4;17;2,2;
2019-05-31;289;907;14,7;2,6;
2019-06-30;26,8;909,7;13,4;3,1;
2019-07-31;130,8;909,2;10,8;3,1;
2019-08-31;53,8;910,9;11,5;3,3;
2019-09-30;79;907,5;14,3;3;
2019-10-31;277,4;906,4;16,9;3,1;
2019-11-30;188,6;904,8;17,9;3,3;
2019-12-31;80,6;904,5;19,5;3;
2020-01-31;null;904,2;20,4;2,6;
2020-02-29;null;null;null;null;
2020-03-31;null;null;null;null;
2020-04-30;null;null;null;null;
2020-05-31;null;907,8;12,3;3,2;
2020-06-30;184,8;907,4;12,5;3,8;
2020-07-31;422;907,8;10,4;3,4;
2020-08-31;74;909,1;12,9;3,2;
2020-09-30;123;907,2;15,2;3,3;
2020-10-31;39,4;905,5;16,9;3,2;
2020-11-30;94,4;906;17;2,7;
2020-12-31;175,2;904,3;19,1;3;
2021-01-31;325,2;904,6;19,3;2,9;
2021-02-28;101;904,6;18,5;2,3;
2021-03-31;101,8;905,3;18,6;2,4;
2021-04-30;null;null;null;null;
2021-05-31;null;null;10,4;null;
2021-06-30;162;908,8;10,3;2,8;
2021-07-31;55,6;910,4;9,7;3,3;
2021-08-31;63,4;909,6;13,5;3,3;
