Nome: VENTANIA
Codigo Estacao: A872
Latitude: -24.28027777
Longitude: -50.21027777
Altitude: 1093.41
Situacao: Operante
Data Inicial: 2011-04-14
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-04-30;null;null;null;null;
2011-05-31;18,4;896;15;null;
2011-06-30;139,2;895,5;13,3;null;
2011-07-31;null;null;null;null;
2011-08-31;null;null;null;null;
2011-09-30;16,8;896,5;16,2;null;
2011-10-31;213,4;892,7;17,7;null;
2011-11-30;113,2;892,6;18;null;
2011-12-31;75;891,2;20;null;
2012-01-31;211,8;892;19,1;null;
2012-02-29;157;893,3;21,4;null;
2012-03-31;66,4;894,1;19,9;null;
2012-04-30;226,4;893,7;18,1;null;
2012-05-31;54,6;896,5;15,2;null;
2012-06-30;272;895,8;14,2;null;
2012-07-31;72;896,2;14,4;null;
2012-08-31;12,4;899,1;16,8;null;
2012-09-30;61,6;896;18,2;null;
2012-10-31;86,2;893,2;20,1;null;
2012-11-30;105,2;891,8;19,2;null;
2012-12-31;142;891,8;21,8;null;
2013-01-31;127,4;892,8;19,3;null;
2013-02-28;238;893,1;19,9;null;
2013-03-31;124,8;893,7;19,2;null;
2013-04-30;102,8;895;17,6;null;
2013-05-31;126;895,4;16,4;null;
2013-06-30;308,8;895,8;14,6;null;
2013-07-31;101,2;897,4;13,8;null;
2013-08-31;8,8;896,2;15,2;null;
2013-09-30;151,8;895,2;16,7;null;
2013-10-31;119,8;894,1;17,6;null;
2013-11-30;106;892,6;18,9;null;
2013-12-31;38,8;891;20,9;null;
2014-01-31;146,8;894,3;21,7;null;
2014-02-28;135,6;893,7;22;null;
2014-03-31;null;null;null;null;
2014-04-30;null;null;null;null;
2014-05-31;null;null;null;null;
2014-06-30;198,8;896,1;14,9;null;
2014-07-31;116,6;898,5;14;null;
2014-08-31;29,2;897,3;16,5;null;
2014-09-30;262,2;894,9;17,4;null;
2014-10-31;51;895,1;20;null;
2014-11-30;109,4;892,5;19,3;null;
2014-12-31;178,2;892,7;20,2;null;
2015-01-31;100;894,5;22;null;
2015-02-28;181;893,2;20,3;null;
2015-03-31;179,8;893,8;19,5;null;
2015-04-30;24;894,8;18,4;null;
2015-05-31;147,8;896,1;15,5;null;
2015-06-30;44,8;898,1;15,1;null;
2015-07-31;318,8;896,6;14,5;null;
2015-08-31;49,8;896,9;17,7;null;
2015-09-30;215,2;893,6;18,6;null;
2015-10-31;240;894,2;19,3;null;
2015-11-30;299,4;891,9;19,2;null;
2015-12-31;216,2;893,2;20,4;null;
2016-01-31;140,2;892,1;20,8;null;
2016-02-29;310,6;893,9;21,2;null;
2016-03-31;87,6;894,8;19,9;null;
2016-04-30;52,6;895,1;20,8;null;
2016-05-31;187;896,5;14,6;null;
2016-06-30;100,2;897,8;12,8;null;
2016-07-31;63,2;896,8;14,9;null;
2016-08-31;167,8;895,9;15,6;null;
2016-09-30;44,8;895,8;15,9;null;
2016-10-31;96,8;893,6;17,4;null;
2016-11-30;75;892,6;18,9;null;
2016-12-31;144;892,6;20,2;null;
2017-01-31;null;null;21,4;null;
2017-02-28;null;null;null;null;
2017-03-31;null;null;null;null;
2017-04-30;null;null;16,3;null;
2017-05-31;180,6;895,4;16,6;null;
2017-06-30;222;897,2;14,6;null;
2017-07-31;1;900,9;14,3;null;
2017-08-31;116,6;896,2;16,1;null;
2017-09-30;57,6;897,1;20,5;null;
2017-10-31;333,6;893,2;18,1;null;
2017-11-30;249,6;891,7;18,4;null;
2017-12-31;354,8;891,7;20;null;
2018-01-31;192,2;892,8;19,9;null;
2018-02-28;76,6;892,8;19,3;null;
2018-03-31;80,8;892,7;21,1;null;
2018-04-30;5,4;896,4;19,5;null;
2018-05-31;38,8;896,8;16,7;null;
2018-06-30;77,8;897,1;15,6;null;
2018-07-31;18,4;897,2;16,8;null;
2018-08-31;94,6;897;14,2;null;
2018-09-30;92,6;893,9;17,3;null;
2018-10-31;216,4;893,1;17,9;null;
2018-11-30;85,2;893;19,1;null;
2018-12-31;102;893,2;21,6;null;
2019-01-31;170,8;894,9;22,4;null;
2019-02-28;260;892,9;20,5;null;
2019-03-31;148,8;894,8;20,3;null;
2019-04-30;null;null;null;null;
2019-05-31;117,4;895;17,3;null;
2019-06-30;98;898,1;16,4;null;
2019-07-31;39;897,3;15;null;
2019-08-31;null;null;null;null;
2019-09-30;null;null;null;null;
2019-10-31;null;null;null;null;
2019-11-30;null;null;null;null;
2019-12-31;179;892,5;20,2;null;
2020-01-31;null;null;20,8;null;
2020-02-29;null;null;null;null;
2020-03-31;null;null;null;null;
2020-04-30;null;null;null;null;
2020-05-31;null;null;null;null;
2020-06-30;null;null;null;null;
2020-07-31;null;null;null;null;
2020-08-31;null;null;null;null;
2020-09-30;null;null;null;null;
2020-10-31;null;null;null;null;
2020-11-30;null;null;null;null;
2020-12-31;null;null;null;null;
2021-01-31;null;null;null;null;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;null;null;null;null;
2021-12-31;null;null;null;null;
2022-01-31;null;null;null;null;
2022-02-28;null;null;null;null;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;118,8;895,3;14,4;2,8;
2022-06-30;79,2;895,8;14,1;2,8;
2022-07-31;15,4;896,6;16,9;2,5;
2022-08-31;135;896,5;14,5;3,1;
2022-09-30;203,4;895;14,2;3,3;
2022-10-31;275;893,4;17,8;2,7;
2022-11-30;73,2;893,3;17,2;3,2;
2022-12-31;182,2;891,3;19,6;2,4;
2023-01-31;134,2;892,4;20;2,5;
2023-02-28;270;893,1;19,8;2,4;
2023-03-31;182,6;894,5;20,8;2,2;
2023-04-30;161,2;894,1;17,9;2,4;
2023-05-31;10,8;896,5;16,8;1,9;
2023-06-30;101,4;897,6;15;2,2;
2023-07-31;103,4;897,6;14,7;2,1;
2023-08-31;106,8;895,4;16,8;2,5;
2023-09-30;91,8;894,4;19,8;2,6;
2023-10-31;302,2;892,3;19;2,6;
2023-11-30;159,8;892,2;20,5;2,5;
2023-12-31;107,8;892,9;22,1;2,3;
2024-01-31;112,4;892,8;21;2,4;
2024-02-29;50,4;894,3;21,8;2,1;
2024-03-31;48,2;894,2;22;2,3;
2024-04-30;null;null;null;null;
2024-05-31;null;null;null;null;
2024-06-30;null;null;null;null;
2024-07-31;null;null;null;null;
2024-08-31;null;null;18,4;null;
2024-09-30;61,6;895;21,1;2,4;
2024-10-31;88,2;893,7;19,5;2,7;
2024-11-30;114,6;892,3;20,2;2,3;
2024-12-31;329;891,5;19,9;2,2;
2025-01-31;267;891,8;20,7;2,2;
2025-02-28;129;894;22,1;1,9;
2025-03-31;125,8;895,3;21,2;2;
2025-04-30;51,6;894,4;18;2,1;
2025-05-31;43,4;897,3;16,3;2,1;
2025-06-30;null;null;null;null;

