Nome: XANXERE
Codigo Estacao: A858
Latitude: -26.9386111
Longitude: -52.39805555
Altitude: 878.74
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;242,8;913,2;22;3,8;
2010-02-28;151;914,1;23;4,4;
2010-03-31;234;914,1;20,8;2,9;
2010-04-30;339;917,1;18,1;3,6;
2010-05-31;207,6;916,7;14,2;3,5;
2010-06-30;71;918,6;14,8;4,5;
2010-07-31;183,2;918,6;14,6;4,5;
2010-08-31;70,2;918,6;15,1;2,7;
2010-09-30;19,6;915,4;17,1;2,4;
2010-10-31;2;914,6;17;1,1;
2010-11-30;49,8;912,3;19,3;1,7;
2010-12-31;359,6;911;20,5;3,5;
2011-01-31;109,4;911,7;22,1;2,8;
2011-02-28;248,8;913,5;21,3;3,4;
2011-03-31;149,2;914,6;20,6;3,5;
2011-04-30;139,4;916;18,8;3,3;
2011-05-31;73,2;917,9;15;3,3;
2011-06-30;321;916,8;13,6;4;
2011-07-31;258;916,8;14,5;4,2;
2011-08-31;226,2;916,3;14,9;4,7;
2011-09-30;175,2;917,9;16,4;3,7;
2011-10-31;256,2;913,7;18,6;3,4;
2011-11-30;98,4;914;19,7;3;
2011-12-31;79;912,4;21,1;2,7;
2012-01-31;106;913,1;21,7;3,2;
2012-02-29;68,4;914,1;23,3;3,4;
2012-03-31;94;915,6;21,2;2,4;
2012-04-30;204;915,4;18,3;2,6;
2012-05-31;56,8;918,3;15,8;3,2;
2012-06-30;171,2;917,3;14,2;3;
2012-07-31;205,6;917,5;13,1;3,4;
2012-08-31;,8;920,1;18,1;4,5;
2012-09-30;85,8;917,1;18,8;3,5;
2012-10-31;269;914,1;19,5;3,6;
2012-11-30;82,6;913,2;21,3;2,2;
2012-12-31;257,8;912,3;22,5;3;
2013-01-31;119;914,3;21,2;1,5;
2013-02-28;null;null;null;null;
2013-03-31;312,2;915;19,2;1,2;
2013-04-30;199,8;916,7;18;,9;
2013-05-31;114,6;916,7;15,7;1,8;
2013-06-30;270;916,9;14,3;1,2;
2013-07-31;87,6;918,6;15,3;1,2;
2013-08-31;198,4;917,1;14,8;1,6;
2013-09-30;null;917;16,9;1,7;
2013-10-31;256;915,5;18;3;
2013-11-30;136,2;913,7;20,6;3,6;
2013-12-31;133,8;912,1;22,3;2,8;
2014-01-31;179,8;914,9;22,6;3,2;
2014-02-28;118,6;914,9;22,9;3,4;
2014-03-31;290,8;915;20,2;3;
2014-04-30;111,4;916,6;18,9;2,7;
2014-05-31;null;null;null;null;
2014-06-30;null;null;null;null;
2014-07-31;115,2;919,8;14,3;3,8;
2014-08-31;105,4;918,4;16,5;3,2;
2014-09-30;401,4;915,4;17,9;3,5;
2014-10-31;92,6;916;21,1;2,8;
2014-11-30;224,8;913,8;20,7;2,3;
2014-12-31;296,4;913,5;21,1;2,7;
2015-01-31;272,6;915,5;22;2,5;
2015-02-28;265;914,3;21,4;2,1;
2015-03-31;84,8;915,3;21;1,6;
2015-04-30;103,2;916,5;18,8;1,8;
2015-05-31;201,2;917,7;16,1;2,4;
2015-06-30;200,8;919,2;15,2;3;
2015-07-31;434,6;917,5;14,4;2,9;
2015-08-31;84,4;917,4;19,3;3,9;
2015-09-30;325;914,2;18,2;2,8;
2015-10-31;311,6;914,8;19,7;2,6;
2015-11-30;275;912,8;19,7;2,1;
2015-12-31;324,8;913,6;21,3;2,7;
2016-01-31;146,6;913,3;23;2;
2016-02-29;243,8;914,6;22,4;2;
2016-03-31;254,4;916,1;20;2,3;
2016-04-30;120,2;916,1;21;2,6;
2016-05-31;209,2;918,2;14,2;1,8;
2016-06-30;62,8;920,1;11,3;1,5;
2016-07-31;80,2;917,9;14,4;3;
2016-08-31;220,4;917,1;15,6;2,6;
2016-09-30;83,8;917,8;15,8;2;
2016-10-31;null;null;16,8;null;
2016-11-30;115,4;914,3;19,8;2,2;
2016-12-31;139,2;913,4;21;2,2;
2017-01-31;188,8;914,3;22,1;1,9;
2017-02-28;163,2;914,3;22,6;2,1;
2017-03-31;95,2;915,7;21;1,8;
2017-04-30;107,2;916,6;17,9;2,4;
2017-05-31;433,4;916,5;16,6;2,2;
2017-06-30;144,2;918,3;14,7;2,3;
2017-07-31;13,4;922,5;15,3;2,8;
2017-08-31;163,4;917,3;16,6;2,8;
2017-09-30;51,4;917,9;21,3;2,8;
2017-10-31;349,4;914;18,4;2,8;
2017-11-30;182,6;913;19,4;2,3;
2017-12-31;192;912,8;21,9;2,2;
2018-01-31;null;null;null;null;
2018-02-28;null;null;null;null;
2018-03-31;null;null;null;null;
2018-04-30;null;null;null;null;
2018-05-31;93,4;918,4;16,9;2,3;
2018-06-30;133,8;918,5;13,4;1,7;
2018-07-31;41,6;918,4;15,6;2,4;
2018-08-31;119;918,7;13,6;2,3;
2018-09-30;207;915,2;17,7;2,1;
2018-10-31;360,4;914,4;18,3;2,2;
2018-11-30;206;914,1;20,6;2;
2018-12-31;121,2;914,5;21,9;1,9;
2019-01-31;204,6;915,6;23,3;2;
2019-02-28;422;914,3;21,1;1,6;
2019-03-31;201,2;916,3;20,3;1,6;
2019-04-30;149,6;915,7;19,7;1,2;
2019-05-31;339,4;916,2;17,1;2;
2019-06-30;37,6;919,1;17,2;2,7;
2019-07-31;83,8;918,8;14,2;2,4;
2019-08-31;18,8;920,1;15,4;2,7;
2019-09-30;74;916,3;18,8;2,5;
2019-10-31;200,6;915,2;21,1;2,5;
2019-11-30;218,2;913,5;21,4;2,1;
2019-12-31;110,8;913,7;21,7;2,1;
2020-01-31;219,4;913,1;22,3;1,7;
2020-02-29;192;915;21,5;2;
2020-03-31;59;916,3;22,4;2,3;
2020-04-30;97,6;917,7;17,8;2,5;
2020-05-31;165,8;917,7;15,1;2,6;
2020-06-30;309;916,9;15,5;3,2;
2020-07-31;175,6;917,4;14,3;2,9;
2020-08-31;144,2;918,2;16,6;2,7;
2020-09-30;48;916,1;19,7;2,8;
2020-10-31;54,4;914,4;21;2,4;
2020-11-30;108,4;914,8;20,6;2,5;
2020-12-31;125,2;913,3;22;2,2;
2021-01-31;353,2;913,5;21,3;2,4;
2021-02-28;21,6;913,9;20,9;2,1;
2021-03-31;95,6;914,5;21,4;2,2;
2021-04-30;null;null;null;null;
2021-05-31;null;917,2;14,6;2,3;
2021-06-30;168,4;918,4;13,1;2,3;
2021-07-31;52;920,2;13,1;2,5;
2021-08-31;32;918,5;17,3;2,7;
2021-09-30;178,2;915,7;18,7;2,6;
2021-10-31;295;914,9;18,1;2,5;
2021-11-30;127;913,3;21,2;2,2;
2021-12-31;10,8;912,6;23;2,4;
2022-01-31;165,8;913,2;23,1;2,4;
2022-02-28;55,4;913,9;22,8;2,2;
2022-03-31;262,6;914,7;20,3;2,4;
2022-04-30;242,8;915,9;18;2,3;
2022-05-31;246;917,6;13,8;2,3;
2022-06-30;null;null;null;null;
2022-07-31;null;null;null;null;
2022-08-31;null;null;null;null;
2022-09-30;null;null;null;null;
2022-10-31;null;914,6;18,1;2,4;
2022-11-30;67;915,6;18,7;2,5;
2022-12-31;128,2;912,6;21,9;2,1;
2023-01-31;191,2;913,7;22,1;2,1;
2023-02-28;161,8;914,3;20,7;1,9;
2023-03-31;80;915,7;22,2;1,9;
2023-04-30;191,2;915,7;18,3;2;
2023-05-31;240;918,2;16,8;2,1;
2023-06-30;144,6;919;15,3;2,6;
2023-07-31;193,8;918,6;15,8;2,2;
2023-08-31;114,6;916,5;16,8;2,7;
2023-09-30;165,4;914,6;20;3;
2023-10-31;454,8;912,7;18,8;2,6;
2023-11-30;null;913,2;21,3;2,6;
2023-12-31;270,6;914,1;22,4;2;
2024-01-31;201,2;914;21,9;2,2;
2024-02-29;89,4;915,3;23,3;2;
2024-03-31;101;915,6;22,2;2,1;
2024-04-30;118,8;915,6;20,8;2;
2024-05-31;null;915,8;17,3;2,7;
2024-06-30;null;917,6;17,4;1,7;
2024-07-31;null;null;16,1;null;
2024-08-31;58,2;918,5;16,3;1,6;
2024-09-30;73,8;915,7;20,2;1,8;
2024-10-31;60,8;914,8;20;1,4;
2024-11-30;84,6;913,6;21,4;1;
2024-12-31;93;912,7;20,7;1,1;
2025-01-31;43,4;912,8;22,5;,9;
2025-02-28;null;915;24;,7;
2025-03-31;null;916,8;22,8;,6;
2025-04-30;null;916,2;18,1;,8;
2025-05-31;null;918,6;16,6;,9;
2025-06-30;null;null;null;null;

