Nome: CACADOR
Codigo Estacao: A859
Latitude: -26.81916666
Longitude: -50.98555555
Altitude: 944.26
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;1,2;907,3;20,8;1,8;
2010-02-28;48,4;908,2;21,4;1,8;
2010-03-31;208,8;908;19;1,5;
2010-04-30;304,4;911,1;16,3;1,6;
2010-05-31;161,2;910,4;13,1;1,7;
2010-06-30;127,8;912,8;12,5;1,7;
2010-07-31;83,2;912,9;12,7;1,8;
2010-08-31;84,2;912,8;13,1;2,1;
2010-09-30;40,8;909,8;15,8;2,3;
2010-10-31;155;908,3;15,4;1,8;
2010-11-30;126,6;906;17,6;1,9;
2010-12-31;291,6;905,1;19,1;1,7;
2011-01-31;274,6;905,5;20,9;1,4;
2011-02-28;227,6;907,4;20,7;1,5;
2011-03-31;139,8;909;18,6;1,9;
2011-04-30;113,6;909,9;16,8;1,4;
2011-05-31;47,4;911,7;12,8;1,3;
2011-06-30;169,8;910,7;10,7;1,7;
2011-07-31;259,8;910,9;12,3;1,7;
2011-08-31;251,4;910,4;13,2;2,3;
2011-09-30;196,4;912,3;13,8;2,1;
2011-10-31;156,8;907,8;16,7;2,1;
2011-11-30;53,4;908,2;17,4;2;
2011-12-31;99,8;906,3;18,5;1,9;
2012-01-31;143;907,1;19,8;1,7;
2012-02-29;121,4;908,1;21,3;1,5;
2012-03-31;65,6;909,3;18,9;1,6;
2012-04-30;null;null;null;null;
2012-05-31;54,6;912,4;13,5;1,5;
2012-06-30;139,4;911,2;12,4;1,5;
2012-07-31;167;911,4;11,7;1,7;
2012-08-31;15;914,5;15,4;1,9;
2012-09-30;57;911,4;15,7;2,3;
2012-10-31;185,2;908,4;17,6;1,9;
2012-11-30;15,2;907,4;19,7;2,1;
2012-12-31;26;906,3;21,5;1,9;
2013-01-31;null;908,3;19,6;1,9;
2013-02-28;null;907,8;20;1,6;
2013-03-31;null;909,1;18,2;1,7;
2013-04-30;60,4;910,6;15,4;1,6;
2013-05-31;6,4;910,5;13,8;1,6;
2013-06-30;null;910,8;12,7;1,6;
2013-07-31;38,2;912,3;12,5;1,9;
2013-08-31;34,6;911,5;12,6;2;
2013-09-30;49,6;910,7;14,4;2;
2013-10-31;29,4;909,6;16,6;2,1;
2013-11-30;156,2;908,1;18,6;2,4;
2013-12-31;303,4;906,2;20,3;1,9;
2014-01-31;111;908,9;21,1;1,8;
2014-02-28;103,8;909;20,8;1,9;
2014-03-31;55,4;909,1;18,6;1,8;
2014-04-30;113,4;910,8;17,1;1,7;
2014-05-31;47,8;910,8;13,7;1,6;
2014-06-30;null;911;13,4;1,9;
2014-07-31;null;914;12,3;1,9;
2014-08-31;null;912,3;14,3;1,8;
2014-09-30;null;909,8;16,1;2;
2014-10-31;null;910,4;18,5;2,1;
2014-11-30;124;907,9;18,9;1,9;
2014-12-31;258;907,6;20,1;1,9;
2015-01-31;73,4;909,4;20,8;1,6;
2015-02-28;51,6;908,3;19,9;1,4;
2015-03-31;null;909,2;19,4;1,4;
2015-04-30;13;910,5;17;1,5;
2015-05-31;null;911,7;14,4;1,4;
2015-06-30;null;913,3;13;1,6;
2015-07-31;null;911,4;12,9;1,5;
2015-08-31;null;911,8;16;1,7;
2015-09-30;null;908;17,1;1,8;
