Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;null;null;null;null;
2019-08-31;99,8;1020,6;12,8;3,2;
2019-09-30;142,2;1017;14,7;3,2;
2019-10-31;259;1014;18,5;3,5;
2019-11-30;99;1012,2;21,1;3,8;
2019-12-31;37,6;1010,3;22,7;3,4;
2020-01-31;38,4;1010,4;23,8;3,3;
2020-02-29;33,4;1012,7;23,4;3,7;
2020-03-31;36,8;1014,2;23;3,1;
2020-04-30;102,6;1015,7;19;3,7;
2020-05-31;91,4;1014,9;15,6;3;
2020-06-30;209,8;1014,9;14,4;3;
2020-07-31;126,8;1016,4;12,2;3;
2020-08-31;51,2;1017,9;13,9;2,8;
2020-09-30;190,8;1016,4;14,7;3,3;
2020-10-31;130,4;1014,3;17,4;3,8;
2020-11-30;29,6;1014,7;19,9;3,3;
2020-12-31;143,8;1011,2;22,1;3,8;
2021-01-31;null;1010,1;24;3,2;
2021-02-28;210,6;1010,9;22,8;3;
2021-03-31;227,6;1012,1;22;2,8;
2021-04-30;29,8;1016,6;19,8;3;
2021-05-31;37;1016;13,9;2,8;
2021-06-30;101,4;1017,8;13,4;3,4;
2021-07-31;70;1019,1;11,9;2,9;
2021-08-31;143,4;1018,6;14,5;2,9;
2021-09-30;222;1015,2;16,7;3,7;
2021-10-31;82,2;1014,9;17,8;3,5;
2021-11-30;48,2;1011,7;20,4;3,6;
2021-12-31;35,4;1012,4;21,7;3,4;
2022-01-31;94,2;1010;25;3,2;
2022-02-28;83;1010,5;23,2;3,2;
2022-03-31;113,2;1012,1;21,1;3;
2022-04-30;112,6;1014,5;17,9;2,8;
2022-05-31;null;null;null;null;
2022-06-30;null;null;null;null;
2022-07-31;263,2;1014,6;13,9;2,9;
2022-08-31;118,8;1019,1;13,1;2,9;
2022-09-30;48,4;1017,7;14,4;3,4;
2022-10-31;109,6;1014,2;17,3;3,8;
2022-11-30;40,8;1015,8;20,1;3,7;
2022-12-31;18,6;1010,7;22,7;3,4;
2023-01-31;71,4;1010,7;24,6;3,1;
2023-02-28;119,2;1010,6;23,5;3,1;
2023-03-31;138,6;1012,3;24,3;2,9;
2023-04-30;24;1014,4;18,7;2,6;
2023-05-31;139,8;1016,8;16,9;2,4;
2023-06-30;62,2;1017,9;14,4;2,4;
2023-07-31;252,8;1018,4;13,4;2,9;
2023-08-31;100,6;1015,4;14,3;2,9;
2023-09-30;477,4;1013,7;16;3,6;
2023-10-31;60,2;1013,4;17,6;3,8;
2023-11-30;179,6;1010,7;20,1;3,8;
2023-12-31;173,6;1011,5;22,2;3,7;
2024-01-31;96,8;1012,6;23,4;3,5;
2024-02-29;114,6;1013;24,5;3,4;
2024-03-31;42,4;1012,7;22,7;2,6;
2024-04-30;245;1013,1;20;3,1;
2024-05-31;327,2;1015,3;14,8;3,1;
2024-06-30;112,8;1014,7;15,8;2,9;
2024-07-31;25,8;1022,1;11,5;2,6;
2024-08-31;194,4;1017,5;13,6;3,5;
2024-09-30;328;1014,2;16,8;3,5;
2024-10-31;177,4;1014,4;19,5;4,1;
2024-11-30;108,4;1012,4;21,5;3,9;
2024-12-31;139;1010,7;20,8;3,9;
2025-01-31;113,4;1010,5;23,7;3,2;
2025-02-28;89;1011;25;2,8;
2025-03-31;null;null;null;null;
2025-04-30;null;null;null;null;
2025-05-31;71,4;1016,9;16,7;2,5;
2025-06-30;null;null;null;null;

