Nome: CURITIBANOS
Codigo Estacao: A860
Latitude: -27.2886111
Longitude: -50.60416666
Altitude: 978.1
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;166,6;903,8;20,6;3;
2010-02-28;145;904,7;21,5;2,9;
2010-03-31;136;904,5;18,9;2,9;
2010-04-30;157,4;907,8;16,5;2,9;
2010-05-31;148;906,7;13,3;3,1;
2010-06-30;69,4;909,1;12,4;3,2;
2010-07-31;73,6;909,3;12,5;3,3;
2010-08-31;34,4;908,8;13,8;3,7;
2010-09-30;52,6;906,5;14,7;4,2;
2010-10-31;136,2;904,8;14,8;3,3;
2010-11-30;108,6;902,4;17,4;3,4;
2010-12-31;178;901,5;19,3;3,2;
2011-01-31;199,4;902;21,1;2,7;
2011-02-28;200,4;903,9;20,6;2,9;
2011-03-31;111,8;905,5;18,3;3,7;
2011-04-30;null;906,3;17,3;2,8;
2011-05-31;null;null;null;null;
2011-06-30;101,6;906,9;10,8;3;
2011-07-31;241,6;907,2;12,2;3,2;
2011-08-31;309,4;906,7;12,4;4,1;
2011-09-30;211,6;908,7;13,4;3,5;
2011-10-31;162,8;904,2;16,4;3,5;
2011-11-30;71,8;904,8;17;3,6;
2011-12-31;112,8;902,8;18,4;3,2;
2012-01-31;null;903,6;19,6;3,1;
2012-02-29;138,4;904,6;21,3;2,9;
2012-03-31;35,4;905,8;19,1;2,8;
2012-04-30;122,2;905,5;16,7;2,9;
2012-05-31;39;908,8;13,8;2,7;
2012-06-30;117,2;907,5;12,3;2,4;
2012-07-31;162,4;907,6;11,5;3;
2012-08-31;12,4;911;15,4;3,5;
2012-09-30;29,4;907,8;15,2;3,8;
