Nome: DOIS VIZINHOS
Codigo Estacao: A843
Latitude: -25.69916666
Longitude: -53.09527777
Altitude: 545.95
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;304,4;948,6;23,9;2,4;
2010-02-28;216,8;949,5;24,4;2,1;
2010-03-31;177,8;949,5;23,2;2;
2010-04-30;169,8;953,1;20,2;1,9;
2010-05-31;125,6;953,1;16,2;1,9;
2010-06-30;60,2;955,1;16,4;1,7;
2010-07-31;null;954,7;16,1;2,2;
2010-08-31;30,8;954,8;17,2;2,7;
2010-09-30;null;null;null;null;
2010-10-31;null;null;null;null;
2010-11-30;null;null;null;null;
2010-12-31;267,6;946,4;22,2;2,5;
2011-01-31;186,2;947,2;23,6;2;
2011-02-28;198,6;949;23,3;2,2;
2011-03-31;46;949,9;23,4;3,2;
2011-04-30;103,4;951,8;20,6;2,3;
2011-05-31;32,4;954,4;16,9;2,4;
2011-06-30;95;953,7;14,5;2;
2011-07-31;233,8;953,4;15,9;2,2;
2011-08-31;327,4;952,9;16,5;2,9;
2011-09-30;null;954,2;18,9;2,8;
2011-10-31;271,8;949,5;20,9;2,9;
2011-11-30;138,6;949,7;21,6;3;
2011-12-31;37;948;23,2;2,4;
2012-01-31;186,6;948,5;23,8;2,4;
2012-02-29;139,6;949,5;24,8;2;
2012-03-31;61;951,3;22,7;2,1;
2012-04-30;228,2;951,3;19,9;1,9;
2012-05-31;66,4;954,5;17,4;2,3;
2012-06-30;170,2;953,9;15,7;1,9;
2012-07-31;118,6;954,3;15,2;2,3;
2012-08-31;1,4;956,2;19,5;2,8;
2012-09-30;72;953,1;20,4;3,2;
2012-10-31;221,2;949,7;21,7;3;
2012-11-30;48,8;948,5;23,6;1,8;
2012-12-31;207;947,7;24,3;,8;
2013-01-31;156;949,7;23,2;,8;
2013-02-28;278;949,4;22,9;,3;
2013-03-31;358,2;950,6;21,4;,5;
2013-04-30;89,8;952,7;19,8;,4;
2013-05-31;286,4;953,1;17,3;,4;
2013-06-30;509,2;953,5;16,1;,2;
2013-07-31;12,2;956;15,9;,4;
2013-08-31;92,8;954,1;16,1;,7;
2013-09-30;110;952,6;18,9;,8;
2013-10-31;230,8;951,3;20,5;1;
2013-11-30;145,6;949,4;22,3;1,8;
2013-12-31;null;947,6;23,3;2,1;
2014-01-31;null;950,5;22,9;1,8;
2014-02-28;null;null;null;null;
2014-03-31;null;950,6;null;2,3;
2014-04-30;null;952,6;null;1,8;
2014-05-31;null;953;null;1,6;
2014-06-30;null;953,8;16,6;1,8;
2014-07-31;181,8;956,6;16;1,2;
2014-08-31;7,6;954,8;18,4;1,1;
2014-09-30;null;951,6;19,9;1,4;
2014-10-31;72,4;951,4;23,1;1,7;
2014-11-30;122,6;949,3;22,8;,9;
2014-12-31;null;null;null;null;
2015-01-31;null;null;null;null;
2015-02-28;null;null;null;null;
2015-03-31;null;null;null;null;
2015-04-30;null;null;null;null;
2015-05-31;null;954,5;18,1;2,6;
2015-06-30;132,2;955,7;17,1;2,6;
2015-07-31;337;954,1;15,8;2,7;
2015-08-31;53,2;953,4;19,9;2,7;
2015-09-30;142;950,1;20,3;2,7;
2015-10-31;145,4;950,4;22,6;3;
2015-11-30;256;948,4;21,8;2,5;
2015-12-31;397;949,3;22,9;2,4;
2016-01-31;170,4;948,5;24,6;2,4;
2016-02-29;216,6;950,1;24,4;2,3;
2016-03-31;165;952;21,9;2,5;
2016-04-30;66;951,8;22,6;2,4;
2016-05-31;192;954,7;16,3;2,3;
2016-06-30;59,6;957;13,5;2,4;
2016-07-31;114,6;954,5;15,7;2,5;
2016-08-31;null;null;null;null;
2016-09-30;null;null;18,7;null;
2016-10-31;120,2;950,7;20,1;3;
2016-11-30;163,6;949,8;22,1;2,8;
2016-12-31;130,4;949,1;22,7;2,4;
2017-01-31;140,4;949,8;23,7;2,3;
2017-02-28;null;949,7;24,1;2,2;
2017-03-31;null;951,2;23,2;2,4;
2017-04-30;null;952,5;19,9;2,5;
2017-05-31;250;952,6;19;2,2;
2017-06-30;null;955,3;16,8;2,3;
2017-07-31;7,2;959;16,2;2,9;
2017-08-31;123,8;953,3;18,7;3,1;
2017-09-30;12,2;953,6;23,7;3,2;
2017-10-31;null;null;null;null;
2017-11-30;null;null;21,8;null;
2017-12-31;293,4;948;23,7;1,8;
2018-01-31;271,8;949,2;22,9;1,6;
2018-02-28;186,2;949,7;23;2,4;
2018-03-31;231,8;949,4;23,4;2;
2018-04-30;42;953,7;22,2;1,6;
2018-05-31;91,4;954,6;18,2;2;
2018-06-30;121,6;955,3;15,2;1,7;
2018-07-31;9,8;954,9;17,3;,9;
2018-08-31;90,2;955,4;15;,9;
2018-09-30;197,2;951,2;18,9;1,3;
2018-10-31;294,2;950,1;20,4;,9;
2018-11-30;206,6;949,6;23,1;2,1;
2018-12-31;28,8;950;23,8;1,4;
2019-01-31;97,6;951;25;,8;
2019-02-28;206,4;949,6;23,3;1,1;
2019-03-31;115;951,8;22,7;,9;
2019-04-30;125,8;951,5;21,3;,4;
2019-05-31;175,8;952,3;19;,8;
2019-06-30;76,8;955,3;18,5;,7;
2019-07-31;10;955,5;15,7;,9;
2019-08-31;null;956,4;17,4;1,4;
2019-09-30;1;951,9;21,4;1,9;
2019-10-31;null;null;null;null;
2019-11-30;null;null;null;null;
2019-12-31;170,6;949,2;23;,7;
2020-01-31;133,8;948,4;24,1;,9;
2020-02-29;116,4;950,2;24,3;1,4;
2020-03-31;22,4;951,6;23,8;,9;
2020-04-30;57,4;953,6;19,7;1;
2020-05-31;250;954,3;16,1;,5;
2020-06-30;162,6;953,4;17,5;1;
2020-07-31;62,6;954;16;,9;
2020-08-31;176;954,4;17,8;1;
2020-09-30;null;null;22,4;null;
2020-10-31;null;null;null;null;
2020-11-30;null;null;null;null;
2020-12-31;null;null;null;null;
2021-01-31;null;null;null;null;
2021-02-28;null;null;null;null;
2021-03-31;null;null;null;null;
2021-04-30;null;null;null;null;
2021-05-31;null;null;null;null;
2021-06-30;null;null;null;null;
2021-07-31;null;null;null;null;
2021-08-31;null;null;null;null;
2021-09-30;null;null;null;null;
2021-10-31;null;null;null;null;
2021-11-30;null;null;null;null;
2021-12-31;null;null;null;null;
2022-01-31;null;null;null;null;
2022-02-28;null;null;null;null;
2022-03-31;null;null;null;null;
2022-04-30;null;null;null;null;
2022-05-31;null;null;null;null;
2022-06-30;null;null;null;null;
2022-07-31;null;null;null;null;
2022-08-31;null;null;null;null;
2022-09-30;250,4;952,9;16,6;2,9;
2022-10-31;529,4;950,5;19,8;2,6;
2022-11-30;105,8;951,2;20,9;3;
2022-12-31;220,6;947,9;23,5;2,2;
2023-01-31;164,8;949,2;23,3;2,1;
2023-02-28;183,4;949,9;22,1;2;
2023-03-31;118,8;951,1;23,4;2,2;
2023-04-30;199,2;951,5;20,2;2,2;
2023-05-31;99,8;954,4;18,1;2,2;
2023-06-30;188;955,7;16,1;2,4;
2023-07-31;194,6;955,1;17,3;2,3;
2023-08-31;112,6;952,6;18,4;2,5;
2023-09-30;174,6;950,5;22;2,7;
2023-10-31;600,6;948,7;21,6;2,8;
2023-11-30;325,8;948,3;23;2,1;
2023-12-31;214,6;949,4;24,3;1,5;
2024-01-31;166,4;949,3;24,2;2;
2024-02-29;193;950,5;25,1;2,2;
2024-03-31;165;950,8;24,2;2,2;
2024-04-30;199,6;951,2;22,5;2,2;
2024-05-31;340,2;null;22;null;
2024-06-30;161;953,4;18,8;2,3;
2024-07-31;223;956,8;15,4;2,3;
2024-08-31;27;954,9;17,4;2,7;
2024-09-30;131,4;951,3;22,1;2,7;
2024-10-31;229,2;950,3;22,6;2,9;
2024-11-30;158;948,8;23,5;2,5;
2024-12-31;427;948,1;22,4;2,2;
2025-01-31;88,2;948,1;24,6;2,1;
2025-02-28;144;950,2;25,2;2,1;
2025-03-31;null;null;24,5;null;
2025-04-30;55,4;952;20;2;
2025-05-31;63,6;954,8;18,6;2,4;
2025-06-30;null;null;null;null;

