Nome: ITUPORANGA
Codigo Estacao: A863
Latitude: -27.41833332
Longitude: -49.64694444
Altitude: 479.79
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;251,4;957,4;22,8;1,4;
2010-02-28;101,2;958,1;23,7;1,3;
2010-03-31;181,4;958,2;21,4;,7;
2010-04-30;173;962,1;18,2;,1;
2010-05-31;168,6;961,5;15,2;,2;
2010-06-30;66,4;964,8;13,8;,1;
2010-07-31;89;965,1;13,5;,1;
2010-08-31;88,8;964,9;13,6;,1;
2010-09-30;84,4;961,7;16,6;0;
2010-10-31;167,6;959,7;16,9;,8;
2010-11-30;180,8;956,8;19,5;1,2;
2010-12-31;203,2;955,5;20,8;,6;
2011-01-31;145,2;955,4;23,1;,4;
2011-02-28;67,8;957,5;22,8;,2;
2011-03-31;162,8;960;20,3;,2;
2011-04-30;62,6;960,7;18,5;,2;
2011-05-31;103;963,1;14,8;,2;
2011-06-30;87,6;962,3;12,1;,3;
2011-07-31;227,2;962,9;12,7;,1;
2011-08-31;331,8;962,3;13,6;,5;
2011-09-30;246,4;964,6;14,5;,2;
2011-10-31;127,2;958,9;18,7;,3;
2011-11-30;80,8;959,6;18,9;,1;
2011-12-31;70,8;956,8;20,5;,1;
2012-01-31;196,2;957,6;21,6;,1;
2012-02-29;172,8;958;23,3;,1;
2012-03-31;60,4;959,8;21;,1;
2012-04-30;140,2;959,8;18,6;,4;
2012-05-31;84,8;963,8;15,5;,7;
2012-06-30;144,8;962,8;13,3;,5;
2012-07-31;164,8;963,1;12,2;,6;
2012-08-31;16;966,6;16,6;,8;
2012-09-30;69,6;963;16,5;1,1;
2012-10-31;197,4;959,3;18,8;1,1;
2012-11-30;78,4;958,4;20,3;,1;
2012-12-31;155,8;956,1;23;1;
2013-01-31;155,2;958,9;21,2;1,2;
2013-02-28;119;957,9;22,3;1,2;
2013-03-31;161,4;959,6;20,2;1,1;
2013-04-30;52,8;961,4;17,7;,8;
2013-05-31;64,6;961,5;15,2;,6;
2013-06-30;null;null;null;null;
2013-07-31;null;null;null;null;
2013-08-31;null;963,8;13,1;,7;
2013-09-30;319;962,2;15,9;1,1;
2013-10-31;93,4;961;18;1,4;
2013-11-30;47,8;959,2;19,8;1,5;
2013-12-31;157,2;956,4;22,1;1,3;
2014-01-31;240,4;958,8;23,5;1,1;
2014-02-28;147,2;959;23,8;1,4;
2014-03-31;160;959,6;21;,9;
2014-04-30;37,8;961,8;18,9;,8;
2014-05-31;101;961,9;15,7;,5;
2014-06-30;255,6;962,6;14,6;,7;
2014-07-31;17,6;966,1;13,7;,6;
2014-08-31;88,6;964;14,6;,7;
2014-09-30;159,8;961,2;17,2;1,1;
2014-10-31;152;961,7;19,5;1,2;
2014-11-30;118;958,8;20,4;1;
2014-12-31;212,6;958;21,8;1;
2015-01-31;310,8;959,3;22,8;1,1;
2015-02-28;140;958,3;22,6;1;
2015-03-31;95,2;959,6;21,4;1;
2015-04-30;50,2;961,4;18,6;,7;
2015-05-31;125,4;963;16,1;,7;
2015-06-30;146,2;965;13,3;,5;
2015-07-31;207,6;962,8;14,7;,6;
2015-08-31;40,4;963;17,4;,7;
2015-09-30;298,6;959,3;17,3;1,1;
2015-10-31;null;null;18,4;null;
2015-11-30;null;957,3;19,6;1,1;
2015-12-31;151,2;957,7;22,3;1,1;
2016-01-31;71,6;958;22,9;1,1;
2016-02-29;208,2;958,5;23,4;1;
2016-03-31;265,8;960,4;20,8;1;
2016-04-30;214,2;960,1;20,9;,8;
2016-05-31;136;963,4;14,8;,6;
2016-06-30;46,2;965,7;11,2;,6;
2016-07-31;112,2;963,7;12,9;,7;
2016-08-31;153;962,6;13,9;,8;
2016-09-30;60,2;962,8;15,9;1,2;
2016-10-31;212,2;960,3;17,9;1,4;
2016-11-30;54;959,1;19,4;1,3;
2016-12-31;null;null;null;null;
2017-01-31;182;958,1;23,1;1;
2017-02-28;106,6;958,4;23,7;1;
2017-03-31;72,4;960,4;21;1;
2017-04-30;59,2;961,9;17,9;,9;
2017-05-31;null;null;17;null;
2017-06-30;null;964;13,9;,5;
2017-07-31;null;969,5;13;,5;
2017-08-31;139,2;963,5;15,1;,8;
2017-09-30;null;null;18,9;null;
2017-10-31;null;958,4;18,7;1,3;
2017-11-30;143;957,4;19,4;1,3;
2017-12-31;132,6;957;21,9;1,2;
2018-01-31;340;957,7;21,9;1,1;
2018-02-28;122,4;958,7;21,2;1,1;
2018-03-31;152,2;957,7;22;,9;
2018-04-30;50,2;962,7;19,8;,7;
2018-05-31;29;963,5;16,3;,8;
2018-06-30;103,6;963,9;13,2;,5;
