Nome: MAJOR VIEIRA
Codigo Estacao: A864
Latitude: -26.3936111
Longitude: -50.36333333
Altitude: 799.58
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;
2010-02-28;null;null;null;null;
2010-03-31;null;null;20,3;null;
2010-04-30;248,6;926,6;17,1;2,3;
2010-05-31;176,4;925,8;13,9;2,4;
2010-06-30;99,2;928,8;12,4;2;
2010-07-31;113,4;928,8;12,7;2,2;
2010-08-31;51,2;928,8;12,6;2,3;
2010-09-30;34,4;925,7;15,8;2,9;
2010-10-31;201,8;923,9;16;2,3;
2010-11-30;107,2;921,4;18,7;2,3;
2010-12-31;223;920,5;19,5;2,6;
2011-01-31;262,8;920,7;21,4;1,8;
2011-02-28;163,6;922,7;21,1;2,2;
2011-03-31;134,2;924,5;18,9;2,2;
2011-04-30;87,2;925,4;17,4;1,7;
2011-05-31;36;927,2;13,3;1,7;
2011-06-30;125,8;926,5;10,7;1,5;
2011-07-31;256,8;926,7;12,1;1,6;
2011-08-31;366,4;926,3;12,8;2,3;
2011-09-30;211,4;928,2;14;2;
2011-10-31;226,2;923,3;17,4;2,5;
2011-11-30;114;923,9;17,6;2,2;
2011-12-31;56,8;921,7;19,1;1,8;
2012-01-31;176,2;922,6;20;1,7;
2012-02-29;151;923,4;21,7;1,4;
2012-03-31;33,2;924,8;19,4;1,7;
2012-04-30;146,4;924,5;17,2;2;
2012-05-31;56;928;14,2;2,1;
2012-06-30;186,8;926,9;12,4;1,8;
2012-07-31;45,2;927,1;11,6;2,2;
2012-08-31;5,2;930,4;15,4;2,1;
2012-09-30;47,4;927,1;15,6;2,5;
2012-10-31;105,6;923,9;18;2,5;
2012-11-30;27;922,9;19,7;2,8;
2012-12-31;14,2;921,5;22;2,3;
2013-01-31;null;923,7;19,6;2,5;
2013-02-28;null;923,1;20,5;2,2;
2013-03-31;null;924,5;18,7;2,2;
2013-04-30;null;926;16,5;2;
2013-05-31;65;926,1;14,1;1,6;
2013-06-30;253,6;926,5;13,1;1,5;
2013-07-31;161,6;928,7;11,1;1,8;
2013-08-31;128;927,3;12,3;2,2;
2013-09-30;245,6;926,4;14,6;2,2;
2013-10-31;141,2;925,1;17,3;2,7;
2013-11-30;113;923,7;19,1;3,1;
2013-12-31;86,8;921,5;20,7;2,4;
2014-01-31;131,4;924,2;21,4;1,8;
2014-02-28;null;924,3;21,2;2;
2014-03-31;175,4;924,5;19,7;1,8;
2014-04-30;23,8;926,3;17,8;1,9;
2014-05-31;null;926,3;14,3;1,1;
2014-06-30;67,6;926,9;13,5;1,8;
2014-07-31;71;930;12,6;1,6;
2014-08-31;134;928,2;13,5;1,6;
2014-09-30;191,8;925,6;16,1;2,1;
2014-10-31;56;926,1;18,7;2;
2014-11-30;61,6;923,4;19,8;2,1;
2014-12-31;223,4;923;20,5;1,9;
2015-01-31;111,4;924,6;21,5;1,8;
2015-02-28;41,6;923,5;20,7;1,5;
2015-03-31;78,6;924,5;20,1;1,5;
2015-04-30;7,4;926;17,8;1,3;
2015-05-31;127;927,3;14,9;1,2;
2015-06-30;109,6;929,1;12,5;1,4;
2015-07-31;264;927,1;13,5;1,4;
2015-08-31;18,6;927,5;15,8;1,1;
2015-09-30;89,6;923,8;16,7;1,4;
2015-10-31;222,8;924,9;17,7;1,1;
2015-11-30;244,6;922,5;18,8;1,6;
2015-12-31;96,4;923;21;,9;
2016-01-31;null;923;21,1;,5;
2016-02-29;null;923,9;21,8;1;
2016-03-31;228,6;925,3;19,8;1,9;
2016-04-30;null;925,3;19,6;2,1;
2016-05-31;null;927,5;13,6;2,1;
2016-06-30;0;929,4;9,7;1,8;
2016-07-31;null;927,6;11,8;1,9;
2016-08-31;null;926,9;12,8;1,8;
2016-09-30;null;927;14,6;2,1;
2016-10-31;109,8;924,6;17;2,6;
2016-11-30;113;923,7;18,7;2,6;
2016-12-31;171;922,7;20;2,1;
2017-01-31;216,8;923,4;21,3;1,8;
2017-02-28;139,6;923,6;21,8;1,6;
2017-03-31;117;925,2;19,8;1,9;
2017-04-30;62,6;926,3;17,1;2,1;
2017-05-31;210,6;926,4;15,9;1,6;
2017-06-30;102,4;928;12,9;1,5;
2017-07-31;10,6;932,6;11,5;1,4;
2017-08-31;130,2;927,5;14,3;1,9;
2017-09-30;41,4;928,1;17,9;1,8;
2017-10-31;248,2;923,7;17,2;2,5;
2017-11-30;131,2;922,3;18,7;2,6;
2017-12-31;123,6;922,1;20,6;2,3;
2018-01-31;190,6;922,9;20,4;2,2;
2018-02-28;31,8;923,6;19,4;2;
2018-03-31;180,4;922,9;20,8;1,7;
2018-04-30;6;927,4;18,8;1,9;
2018-05-31;52,2;927,9;15,4;1,9;
2018-06-30;146,8;927,9;12,4;1,7;
2018-07-31;8,6;927,9;13,6;1,8;
2018-08-31;81,4;928,3;12,5;2;
2018-09-30;175,8;925;15,8;2,1;
2018-10-31;249,4;924,1;17;2,4;
2018-11-30;65,2;924;19,6;2,8;
2018-12-31;67,8;923,4;21,9;2,4;
2019-01-31;102;924,8;22,8;2,2;
2019-02-28;110,6;923,5;20;2,1;
2019-03-31;114,2;925,6;20,1;2,1;
2019-04-30;118,6;924,8;18,8;1,5;
2019-05-31;196,8;925,6;16,4;1,4;
2019-06-30;31;928,9;14,5;1,2;
2019-07-31;35,8;928,3;12,2;1,3;
2019-08-31;23;930,2;12,9;1,6;
2019-09-30;100;926,4;16,2;2;
2019-10-31;171,2;924,9;19,4;2;
2019-11-30;140,8;923,3;19,6;2,4;
2019-12-31;null;923;20,9;1,8;
2020-01-31;76,8;922,3;21,3;2,2;
2020-02-29;20;924,2;20,4;2,1;
2020-03-31;null;925,8;20;1,9;
2020-04-30;null;926,7;16,4;2;
2020-05-31;null;926,7;13,2;2,2;
2020-06-30;null;926,9;14,3;2,2;
2020-07-31;null;927,2;12,4;2,2;
2020-08-31;null;928,4;12,8;2;
2020-09-30;null;926,3;17;2,4;
2020-10-31;null;924,2;18,9;2,7;
2020-11-30;null;924,4;18,9;2,7;
2020-12-31;null;922,7;20,7;2,6;
2021-01-31;null;923,1;20,5;2,5;
2021-02-28;null;922,7;19,9;2,4;
2021-03-31;null;923,5;20,7;2,2;
2021-04-30;null;926,9;17;2,4;
2021-05-31;null;926,5;13,6;2;
2021-06-30;null;927,9;12,3;2;
2021-07-31;null;929,7;9,9;2,1;
2021-08-31;null;928,8;14,5;2,4;
2021-09-30;null;925,7;16,5;2,4;
2021-10-31;null;924,9;16,1;2,5;
2021-11-30;null;922,7;19,6;2,8;
2021-12-31;null;922,2;20,7;2,9;
2022-01-31;null;922,6;21,6;2,4;
2022-02-28;null;923,1;21,3;2;
2022-03-31;null;923,9;20,1;2,1;
2022-04-30;null;925,5;16,7;2;
2022-05-31;null;925,8;13,1;2,1;
2022-06-30;null;926,7;12,2;2,1;
2022-07-31;null;927,1;13,8;1,9;
2022-08-31;null;null;null;null;
2022-09-30;null;926,1;13,7;2,4;
2022-10-31;null;924,1;16,8;2,3;
2022-11-30;null;925;17,3;3;
2022-12-31;145,6;921,9;20,6;2,3;
2023-01-31;189,6;923;20,4;1,9;
2023-02-28;278;923,2;20,3;1,9;
2023-03-31;87,6;925;20,7;1,9;
2023-04-30;114,4;925,1;17;2;
2023-05-31;39,8;927,8;14,5;1,1;
2023-06-30;112,2;928,5;12,1;1,6;
2023-07-31;164,8;928,2;13,1;1,6;
2023-08-31;null;null;null;null;
2023-09-30;null;null;null;null;
2023-10-31;null;null;null;null;
2023-11-30;null;null;21;null;
2023-12-31;106;923,5;22,7;null;
2024-01-31;123,2;923,6;21,4;null;
2024-02-29;80,8;925;22,2;null;
2024-03-31;115,4;925;21,9;null;
2024-04-30;93,2;925,4;20,1;null;
2024-05-31;null;925,8;17,1;2,3;
2024-06-30;null;927,3;15;1,9;
2024-07-31;null;930,2;12,7;2;
2024-08-31;null;928,4;14;2,1;
2024-09-30;null;925,8;18,5;2,5;
2024-10-31;null;925,1;19;2,9;
2024-11-30;null;923,6;20,2;2,5;
2024-12-31;null;922,3;20,3;2,2;
2025-01-31;null;922,3;22;1,9;
2025-02-28;37,8;924,5;23,2;1,7;
2025-03-31;4,8;926,4;21,9;2;
2025-04-30;null;925,7;18,2;1,9;
2025-05-31;null;928,7;15,8;2;
2025-06-30;null;null;null;null;

