Nome: MORRETES
Codigo Estacao: A873
Latitude: -25.50888888
Longitude: -48.80861111
Altitude: 50.31
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;361,2;1004,8;24,6;,3;
2010-02-28;119,2;1005,2;25,8;,2;
2010-03-31;343,8;1005,4;23,9;,2;
2010-04-30;286,8;1010,1;21,3;,2;
2010-05-31;null;1010;19,2;,3;
2010-06-30;null;1013,9;17,8;,3;
2010-07-31;null;null;null;null;
2010-08-31;null;null;17,8;null;
2010-09-30;93,6;1010,5;18,7;,5;
2010-10-31;174,8;1008,1;19,3;,5;
2010-11-30;180,6;1004,9;21,8;,5;
2010-12-31;340,2;1003,1;23;,6;
2011-01-31;367,8;1002,4;25,2;,6;
2011-02-28;345,6;1004,8;24,9;,5;
2011-03-31;540,6;1007,5;22,3;,2;
2011-04-30;45,4;1008,5;22,1;,1;
2011-05-31;,4;1011,5;18,8;,7;
2011-06-30;97;1011,2;16,3;,4;
2011-07-31;144,8;1011,9;16,5;,5;
2011-08-31;244,8;1011,3;17;,9;
2011-09-30;59,8;1013,7;17,7;,3;
2011-10-31;185,6;1007,4;20,3;,4;
2011-11-30;89,6;1007,9;20,9;,7;
2011-12-31;96,8;1004,5;22,8;,6;
2012-01-31;355,8;1005,3;23,4;,9;
2012-02-29;276,8;1005,5;25,2;,8;
2012-03-31;41;1007,5;23,6;,6;
2012-04-30;272,6;1007,7;21,8;,6;
2012-05-31;135,2;1012;19,2;,9;
2012-06-30;258,4;1011,6;17,4;,7;
2012-07-31;144;1011,9;16,5;1;
2012-08-31;18,4;1015,6;18,7;1;
2012-09-30;90,4;1011,7;19,5;1,2;
2012-10-31;118,6;1007,4;21,5;1,2;
2012-11-30;114;1006,6;22,2;1,4;
2012-12-31;400,8;1003,7;25,1;1,2;
2013-01-31;181,2;1006,7;23,2;1,2;
2013-02-28;281,8;1005,4;24,3;1,1;
2013-03-31;258,2;1007,6;22,8;,9;
2013-04-30;61,2;1009,4;21,3;1;
2013-05-31;73,6;1009,9;19,3;,9;
2013-06-30;305;1010,9;18,3;,7;
2013-07-31;174,8;1014;15,7;,9;
2013-08-31;64,6;1012,5;16,2;1,1;
2013-09-30;164,4;1010,9;18,3;1,1;
2013-10-31;86,6;1009,6;20,3;1,2;
2013-11-30;130,2;1007,4;21,7;1,2;
2013-12-31;126;1003,9;24,1;1,1;
2014-01-31;246,2;1006,1;26;1,2;
2014-02-28;108,8;1006,1;26,1;1,2;
2014-03-31;221,6;1007,2;23,8;,9;
2014-04-30;170,8;1009,7;21,7;,7;
2014-05-31;68,2;1010,3;19,6;,7;
2014-06-30;157,4;1011,5;18,4;,6;
2014-07-31;38,4;1015,1;17,1;,7;
2014-08-31;65;1012,8;18,1;,8;
2014-09-30;153,4;1009,9;19,9;1;
2014-10-31;76,2;1010,1;21,4;1,1;
2014-11-30;119,6;1006,9;22,5;1,1;
2014-12-31;232,4;1005,6;24,2;1,1;
2015-01-31;216,8;1006,4;25,6;1,1;
2015-02-28;409;1005,6;24,6;,9;
2015-03-31;233,4;1007,2;23,5;,8;
2015-04-30;133,4;1009,3;21,9;,7;
2015-05-31;115,4;1011,3;19,7;,6;
2015-06-30;85,6;1013,5;18,2;,7;
2015-07-31;0;1011,6;18,1;,7;
2015-08-31;0;1011,6;20,1;,9;
2015-09-30;0;1007,9;20,1;1;
2015-10-31;47,8;1009,3;20,3;,9;
2015-11-30;null;1006;21,6;,9;
2015-12-31;12,4;1005,4;24,4;,9;
2016-01-31;0;1005,5;24,5;1;
2016-02-29;,2;1005,8;25,5;,8;
2016-03-31;51,4;1008;23,9;,7;
2016-04-30;52,8;1007,6;24,5;,8;
2016-05-31;166,4;1012;18,3;,7;
2016-06-30;173;1015,2;14,6;,7;
2016-07-31;91,4;1012,7;16,2;,8;
2016-08-31;162,2;1011,6;17,1;,9;
2016-09-30;101,4;1011,7;18,9;1,3;
2016-10-31;189,8;1009;20;1,2;
2016-11-30;142,6;1007,5;21,3;1,1;
2016-12-31;178,4;1005,3;23,5;,9;
2017-01-31;469,8;1005,4;24,9;,8;
2017-02-28;187,2;1005,7;25,5;,9;
2017-03-31;277;1008;23;,7;
2017-04-30;141,6;1009,9;21,3;,7;
