Nome: RIO DO CAMPO
Codigo Estacao: A861
Latitude: -26.93749999
Longitude: -50.14555555
Altitude: 591.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;212,4;944,7;22,3;1,3;
2010-02-28;193,4;945,5;23,1;1,2;
2010-03-31;199,8;945,5;20,8;1;
2010-04-30;222,8;949,2;17,9;,8;
2010-05-31;198,6;948,5;15,1;1;
2010-06-30;93,6;951,6;13,5;1,1;
2010-07-31;119,4;951,9;13,1;,9;
2010-08-31;84,2;951,7;13,5;1,1;
2010-09-30;47,6;948,6;16,4;1,4;
2010-10-31;182,8;946,6;16,6;1,1;
2010-11-30;150,4;943,8;19,3;1;
2010-12-31;198,6;942,7;20,4;,9;
2011-01-31;null;null;22,2;null;
2011-02-28;null;null;null;null;
2011-03-31;null;null;null;null;
2011-04-30;null;null;null;null;
2011-05-31;121;950,1;14,4;,9;
2011-06-30;134,4;949,1;11,5;1,2;
2011-07-31;380,4;949,7;12,7;,8;
2011-08-31;429,8;949,2;13,6;1,5;
2011-09-30;null;null;null;null;
2011-10-31;null;null;null;null;
2011-11-30;null;null;null;null;
2011-12-31;142,2;944;20,1;1,3;
2012-01-31;554,6;944,8;21;1,3;
2012-02-29;335,8;945,4;22,7;1,1;
2012-03-31;27,2;947,1;20,5;1,1;
2012-04-30;210;947;18,2;1,1;
2012-05-31;118;950,8;15;,8;
2012-06-30;212,8;949,8;13,2;,9;
2012-07-31;293,8;950;12,2;1;
2012-08-31;34,6;953,4;16,3;1;
2012-09-30;78,8;949,9;16,3;1,4;
2012-10-31;267;946,5;18,5;1,3;
2012-11-30;145;945,4;20,4;1,3;
2012-12-31;391,8;943,4;22,7;1,1;
2013-01-31;268,2;946,1;21;1;
