Nome: RIO NEGRINHO
Codigo Estacao: A862
Latitude: -26.2486111
Longitude: -49.57416666
Altitude: 856
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;334,6;916,5;20,6;2,4;
2010-02-28;167,8;917,4;21,6;2,1;
2010-03-31;316,4;916,9;19,6;2,2;
2010-04-30;319,6;920,3;16,7;1,9;
2010-05-31;109,4;919,5;14,2;2,1;
2010-06-30;null;922,1;12,5;2;
2010-07-31;null;null;null;null;
2010-08-31;null;null;null;null;
2010-09-30;null;null;14,8;null;
2010-10-31;219,6;918,2;15,3;2,4;
2010-11-30;147,6;915,8;17,9;2,3;
2010-12-31;222;914,8;18,9;2,4;
2011-01-31;135,4;915,1;21,3;1,8;
2011-02-28;208;917,2;20,7;2,1;
2011-03-31;85,8;918,8;18,4;2,6;
2011-04-30;80,6;919,6;17,4;1,8;
2011-05-31;35,2;921,4;13,7;1,8;
2011-06-30;111,2;920,5;11,2;1,6;
2011-07-31;227,6;921;12,5;1,7;
2011-08-31;278,2;920,5;12,8;2,5;
2011-09-30;151;922,5;13,5;2,2;
2011-10-31;213,2;917,7;16,6;2,5;
2011-11-30;null;918;17,2;2,4;
2011-12-31;null;null;18,3;null;
2012-01-31;null;917,4;19,5;2;
2012-02-29;132,6;917,8;21,4;1,7;
2012-03-31;39,6;919,1;19,2;1,9;
2012-04-30;215,4;918,7;17,3;1,8;
2012-05-31;92,8;922,1;14,3;1,7;
2012-06-30;236,8;921;12,8;1,5;
2012-07-31;195,8;921,2;11,9;1,7;
2012-08-31;7,2;924,7;15,2;1,6;
2012-09-30;58,8;921,4;15,4;1,8;
2012-10-31;133,8;918,2;17,8;1,9;
2012-11-30;82,4;917,4;18,6;1,8;
2012-12-31;246,6;916;21,4;1,6;
2013-01-31;57,2;918,1;19,4;1,9;
2013-02-28;227,2;917,5;20,3;1,7;
2013-03-31;88,6;918,7;18,6;1,6;
2013-04-30;65,4;920,2;16,4;1,2;
2013-05-31;99,2;920,3;14,4;1,1;
2013-06-30;337,2;920,7;13,4;1,2;
