Nome: SAO MATEUS DO SUL
Codigo Estacao: A874
Latitude: -25.83555555
Longitude: -50.36888888
Altitude: 780.21
Situacao: Operante
Data Inicial: 2011-04-16
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-04-30;null;null;null;null;
2011-05-31;34,8;930,4;13;,4;
2011-06-30;124,4;929,5;10,7;,5;
2011-07-31;179,2;929,6;12,6;,6;
2011-08-31;341,8;929,2;13,6;,9;
2011-09-30;164,6;931;14,4;,8;
2011-10-31;203;926,1;17,6;,9;
2011-11-30;71;926,5;17,9;,8;
2011-12-31;154,8;924,4;19,5;,8;
2012-01-31;202,2;925,3;20;,8;
2012-02-29;185;926,2;21,7;,6;
2012-03-31;61;927,5;19,1;,6;
2012-04-30;224,4;927,3;17,2;,6;
2012-05-31;112,4;930,8;13,9;,4;
2012-06-30;null;930,2;12,7;,5;
2012-07-31;146,2;930;12;,7;
2012-08-31;10,6;933,1;15;,7;
2012-09-30;46,8;929,9;15,7;,8;
2012-10-31;169,4;926,6;18,6;,9;
2012-11-30;114,2;925,5;19,7;,9;
2012-12-31;132,2;924,3;22,2;,7;
2013-01-31;134;926,4;20,2;,7;
2013-02-28;253,2;925,9;21;,6;
2013-03-31;152,2;927,1;19,1;,6;
2013-04-30;91,2;928,8;16,1;,5;
2013-05-31;134;929;14,1;,4;
2013-06-30;null;929,9;13,5;,4;
2013-07-31;106,4;931,6;11,4;,5;
2013-08-31;61;930,1;12,9;,8;
2013-09-30;214,6;929,1;15,1;,7;
2013-10-31;149,6;927,8;17,6;,9;
2013-11-30;102,8;926,3;19,3;,9;
2013-12-31;64;924,2;21;,7;
2014-01-31;334,4;927;21,5;,7;
2014-02-28;131,4;926,9;21,4;,6;
2014-03-31;233,2;927,2;19,9;,6;
2014-04-30;43,6;929;17,9;,5;
2014-05-31;73,2;929,2;14,4;,4;
2014-06-30;null;929,5;13,6;null;
2014-07-31;33,4;932,4;12,4;,4;
2014-08-31;48,8;931,1;13,5;,5;
2014-09-30;271,2;928,4;16,8;,8;
2014-10-31;118,8;928,7;19,3;,8;
2014-11-30;125,4;926;20,1;,8;
2014-12-31;207,2;925,7;21;,8;
2015-01-31;145,6;927,4;22;,7;
2015-02-28;147,6;926,2;21,2;,5;
