Nome: SAO MIGUEL DO OESTE
Codigo Estacao: A857
Latitude: -26.78638888
Longitude: -53.51416666
Altitude: 647
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;151,6;937,1;23,6;2,9;
2010-02-28;104,6;937,8;24,7;3,2;
2010-03-31;210,2;938,2;22,3;2,5;
2010-04-30;285,8;941,5;19,3;2,7;
2010-05-31;229,4;941,6;14,9;2,8;
2010-06-30;31,8;943,1;15,6;3,2;
2010-07-31;134,4;943,3;14,9;3,4;
2010-08-31;55,4;943,3;16,2;3,3;
2010-09-30;129,8;939,8;17,8;3,4;
2010-10-31;183,4;939,2;18,1;3,1;
2010-11-30;null;936,7;20,6;2,8;
2010-12-31;null;934,9;22;2,6;
2011-01-31;35,4;935,6;23,4;2,3;
2011-02-28;null;937,4;22,6;2,6;
2011-03-31;null;938,5;21,9;2,8;
2011-04-30;null;940,2;20;2,6;
2011-05-31;null;942,7;16,1;2,6;
2011-06-30;276;941,6;13,8;3;
2011-07-31;225,2;941,4;15,1;3;
2011-08-31;201;940,9;16;3,8;
2011-09-30;165;942,3;17,9;3,2;
2011-10-31;281,6;938;20;3,1;
2011-11-30;120,2;938,1;21,1;2,7;
2011-12-31;54;936,6;22,8;2,9;
2012-01-31;120,8;936,9;24,1;2,7;
2012-02-29;87,2;937,8;25,2;3;
2012-03-31;39,4;939,8;22,8;2,6;
2012-04-30;241,6;939,8;19,3;2,4;
2012-05-31;54,8;942,8;17;2,6;
2012-06-30;118,8;942,1;15;2,8;
2012-07-31;176,2;942,4;14,2;3,2;
2012-08-31;5,6;944,2;19,7;3,2;
2012-09-30;89;941,4;19,6;3;
2012-10-31;261,2;938,2;20,4;3,2;
2012-11-30;111,6;937,2;22,4;2,2;
2012-12-31;375;936;23,8;2,8;
2013-01-31;null;null;null;null;
2013-02-28;null;null;null;null;
2013-03-31;null;null;null;null;
2013-04-30;null;null;null;null;
2013-05-31;null;null;null;null;
2013-06-30;191;941,6;14,8;2,5;
2013-07-31;71,8;943,9;14,7;2,8;
2013-08-31;155,8;942,6;14,2;3,3;
2013-09-30;186,4;941,1;17,5;3,3;
2013-10-31;154,6;939,8;19,5;2,9;
2013-11-30;142,6;937,6;22;3,3;
2013-12-31;220,6;936;23,4;2,6;
2014-01-31;219,8;938,7;24,4;2,7;
2014-02-28;104,6;938,6;24,7;3;
2014-03-31;251;939,1;21,3;2,6;
2014-04-30;277;941;19,3;2,5;
2014-05-31;242,8;941,5;16,2;2,5;
2014-06-30;421,4;941,4;15,4;2,9;
2014-07-31;103,2;944,4;15,2;3;
2014-08-31;52,2;942,9;17,8;3,2;
2014-09-30;446;939,5;19;3,3;
2014-10-31;119,6;939,8;22,4;2,9;
2014-11-30;157,8;937,9;22,1;2,6;
2014-12-31;268,4;937,4;22,6;3;
2015-01-31;283;939,3;23,5;2,8;
2015-02-28;111,2;938,2;23,2;2,5;
2015-03-31;66,4;939,4;22,5;2,3;
2015-04-30;61,4;940,8;20;2,3;
2015-05-31;245,6;942,2;17,2;2,6;
2015-06-30;212,2;943,6;16,6;2,9;
2015-07-31;424,2;942,1;15,1;3;
2015-08-31;null;940,9;21,2;3,5;
2015-09-30;null;null;null;null;
2015-10-31;267,6;938,8;20,7;3,1;
2015-11-30;312,6;936,9;20,6;2,7;
2015-12-31;393,6;937,4;22,8;3;
2016-01-31;91,6;937;24,9;2,6;
2016-02-29;179;938,5;23,7;2,5;
2016-03-31;null;940,4;21;2,6;
2016-04-30;null;null;null;null;
2016-05-31;142,2;942,9;14,8;2,3;
2016-06-30;52,2;945,3;11,8;2,1;
2016-07-31;91,2;942,6;15,3;3,2;
2016-08-31;197,2;941,6;17;3,1;
2016-09-30;70,4;942,6;17,1;2,7;
2016-10-31;188,2;939;19,3;3,1;
2016-11-30;158,2;938,6;21,1;2,7;
2016-12-31;189,4;937,4;22,6;2,8;
2017-01-31;120,6;938,2;23,9;2,6;
2017-02-28;207;938,1;24,1;2,7;
2017-03-31;189;939,7;22,1;2,5;
2017-04-30;193,2;940,9;18,8;2,6;
2017-05-31;300,2;940,7;17,6;2,7;
2017-06-30;133,2;942,8;15,7;3;
2017-07-31;8,2;947;16,6;3;
2017-08-31;155,6;941,5;18;3,3;
2017-09-30;81,6;941,9;22;3;
2017-10-31;362,4;938,1;19,5;3,2;
2017-11-30;184,4;937,3;20,6;2,7;
2017-12-31;156;936,6;23,6;2,6;
2018-01-31;252,4;937,6;22,8;2,6;
2018-02-28;102,8;938,3;22,6;2,4;
2018-03-31;285,6;938;22,3;2,3;
2018-04-30;125,6;942,2;22,3;2,2;
2018-05-31;73,8;942,8;18,2;2,6;
2018-06-30;105,6;943,4;14,1;2,9;
2018-07-31;35,2;943,1;16,4;2,9;
2018-08-31;83;943,6;14,5;2,8;
2018-09-30;235,4;939,4;18,7;2,7;
2018-10-31;316,8;938,6;19,3;2,8;
2018-11-30;195,8;938,1;22,3;2,9;
2018-12-31;79,6;938,6;23,4;2,8;
2019-01-31;190,6;939,3;25,1;2,9;
2019-02-28;204,6;938,3;22,6;2,5;
2019-03-31;null;940,5;21,5;2,3;
2019-04-30;null;940;20,6;2,1;
2019-05-31;null;941;18,5;2,4;
2019-06-30;41,6;943,3;18,5;2,9;
2019-07-31;89,8;943,6;14,7;2,7;
2019-08-31;42,6;944,7;16,5;3,1;
2019-09-30;46,2;940,6;19,9;3,1;
2019-10-31;131,6;939,2;22,2;3;
2019-11-30;223,6;937,4;22,9;2,7;
2019-12-31;127,8;937,8;23,1;2,5;
2020-01-31;180;937;24;2,3;
2020-02-29;103,4;939;22,9;2,5;
2020-03-31;59,6;940,2;24;2,3;
2020-04-30;84;942,2;19,4;2,5;
2020-05-31;null;null;null;null;
2020-06-30;null;null;null;null;
2020-07-31;null;null;null;null;
2020-08-31;null;null;null;null;
2020-09-30;null;null;null;null;
