Nome: TUPANCIRETA
Codigo Estacao: A886
Latitude: -29.08944444
Longitude: -53.82666666
Altitude: 462
Situacao: Operante
Data Inicial: 2016-08-10
Data Final: 2025-06-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;null;null;15,4;null;
2016-09-30;60;965,2;14,9;2,3;
2016-10-31;285,8;961,1;18,3;2,5;
2016-11-30;208,6;960,9;20,3;2,2;
2016-12-31;119,2;958,9;22,9;2,2;
2017-01-31;206,4;959,9;23,1;2,1;
2017-02-28;130,6;959,6;23,3;1,9;
2017-03-31;213;961,8;21,5;2,2;
2017-04-30;291,6;963,2;18,1;2,3;
2017-05-31;380,2;963,1;16,3;2,2;
2017-06-30;121,4;964,8;14,2;2,1;
2017-07-31;6,2;969,1;14,7;2,1;
2017-08-31;198,6;963,8;15,5;2,4;
2017-09-30;149,6;964,1;19,1;2,4;
2017-10-31;271,8;959,9;18,6;2,7;
2017-11-30;135,8;959,5;20,1;2,3;
2017-12-31;127;958,5;23,4;2,3;
2018-01-31;265,8;959,2;22,9;2,3;
2018-02-28;119;960,4;22,4;2,1;
2018-03-31;215,2;959,8;21,5;2;
2018-04-30;174,2;964;21,6;1,9;
2018-05-31;114,4;964,9;16,3;2;
2018-06-30;194;965,8;11,5;2;
2018-07-31;120,6;965,4;12,5;2,2;
2018-08-31;119;966,1;12;2,4;
2018-09-30;266,2;961,7;17,6;2,4;
2018-10-31;137,4;961,3;18,6;2,7;
2018-11-30;381;960;22;2,5;
2018-12-31;110,4;960,2;22,6;2,2;
2019-01-31;314,8;960,5;24,3;2,2;
2019-02-28;149;960,5;22,4;2,1;
2019-03-31;322,6;962,7;20,7;2,1;
2019-04-30;222;962;20,1;1,9;
2019-05-31;256,2;962,9;16,9;2;
2019-06-30;25,6;965;16,4;2,1;
2019-07-31;126,2;966;12;2,1;
2019-08-31;null;null;13,1;null;
2019-09-30;null;null;16,8;null;
2019-10-31;318,6;961,4;19,6;2,5;
2019-11-30;196,2;959,6;22;2,4;
2019-12-31;62;959,4;23,8;2,1;
2020-01-31;143,8;959;23,6;2,2;
2020-02-29;84;961,2;22,6;2,1;
2020-03-31;37,2;962,1;24,2;2,1;
2020-04-30;35,6;964,5;18,4;2;
2020-05-31;198,8;964,3;14,5;1,8;
2020-06-30;117,8;963;14,6;2,4;
2020-07-31;226;964,3;11,8;2,2;
2020-08-31;74,8;965,1;15;2,1;
2020-09-30;188,4;962,9;16,3;2,4;
2020-10-31;48,2;961;19,6;2,5;
2020-11-30;165,4;961,5;21;2,4;
2020-12-31;121,8;959,2;22,8;2,1;
2021-01-31;197,6;959,1;23,1;2,3;
2021-02-28;63,4;960;22;1,9;
2021-03-31;99,2;960,8;21,6;1,9;
2021-04-30;41,4;964,2;19,3;2,1;
2021-05-31;197,4;964,5;13,7;1,8;
2021-06-30;146,2;965,8;12,3;2,1;
2021-07-31;33;967,3;12,4;1,9;
2021-08-31;114,6;965,3;15,5;2,2;
2021-09-30;155,2;962,3;16,7;2,4;
2021-10-31;110,2;961,9;18,6;2,2;
2021-11-30;40;959,7;21,7;2,4;
2021-12-31;31,8;959,1;23,6;2,3;
2022-01-31;76,4;958,5;26,3;2,3;
2022-02-28;76,4;959,4;24,1;2;
2022-03-31;195,4;960,9;20,8;2;
2022-04-30;248,2;962,3;18,3;2,1;
2022-05-31;208,2;964,5;13,4;1,9;
2022-06-30;205,4;964,8;11,5;1,9;
2022-07-31;179,4;962,6;15,9;2,1;
2022-08-31;109,4;965,6;13,6;2,2;
2022-09-30;67,8;964,4;14,4;2,3;
2022-10-31;92,6;961,6;17,3;2,3;
2022-11-30;37,6;962,9;20,5;2,5;
2022-12-31;null;null;null;null;
2023-01-31;null;null;null;null;
2023-02-28;null;null;23,4;null;
2023-03-31;149,2;961,2;23,9;1,8;
2023-04-30;50,2;962,4;18,7;1,9;
2023-05-31;205;964,9;16,3;1,6;
2023-06-30;null;null;13,8;null;
2023-07-31;null;null;null;null;
2023-08-31;61,4;962,9;15,8;2;
2023-09-30;488,8;960,5;17,6;2,5;
2023-10-31;273,2;960,1;17,9;2,2;
2023-11-30;241,6;958,4;21,2;2,3;
2023-12-31;322,6;959,7;23,2;2,1;
2024-01-31;99;960,2;23;2,2;
2024-02-29;61,4;961;24,6;2;
2024-03-31;288;961,4;22,4;1,8;
2024-04-30;494;961,2;20,5;2,1;
2024-05-31;447,8;962,9;14,7;2;
2024-06-30;216,6;963,1;16,1;2,2;
2024-07-31;42,2;968,2;12,6;1,9;
2024-08-31;104,2;965;14,5;2,2;
2024-09-30;178,8;961,6;18,2;2,3;
2024-10-31;132,6;961,4;19,7;2,3;
2024-11-30;102,4;959,8;22,5;2,2;
2024-12-31;72;959;21,4;2,1;
2025-01-31;67,6;958,6;24;2;
2025-02-28;64,6;960,1;25,9;1,9;
2025-03-31;104,6;962,8;23,4;1,8;
2025-04-30;99,6;963,2;18,1;1,7;
2025-05-31;260,6;965,1;16,4;1,8;
2025-06-30;null;null;null;null;

