Nome,Ano,Quantidade (Kg)
TINTAS,1970,284285642
Bacarina,1970,82899
Bailey,1970,0
Bordo,1970,7242197
Bourdin (S),1970,0
BRS Carmen,1970,0
BRS Cora,1970,0
BRS Magna,1970,0
BRS Margot,1970,0
BRS Morena,1970,0
BRS Núbia ,1970,0
BRS Rúbea,1970,0
BRS Violeta,1970,0
BRS Vitória,1970,0
Champagnon (Champanheta),1970,0
Coleções,1970,0
Concord,1970,5407624
Concord clone 30,1970,0
Couderc,1970,2713692
Cynthiana(1),1970,568653
Herbemont,1970,62053013
IAC 138022,1970,0
Isabel,1970,193840398
Isabel Precoce,1970,0
Jacquez,1970,390593
Kyoko,1970,0
Landot,1970,134384
Mistura de uvas americanas tinto,1970,0
Oberlin,1970,15682
Othello,1970,33013
Paco,1970,0
Patricia,1970,0
Seibel,1970,11803494
Seibel 2 (seibeleto),1970,0
Seyve Willard (Tinta),1970,0
Vênus,1970,0
BRANCAS E ROSADAS,1970,985007
Baco,1970,4647
Bokay,1970,0
BRS Bibiana ,1970,0
BRS Clara,1970,0
BRS Lorena,1970,0
Couderc 13,1970,0
Delaware,1970,22705
Dona Zillá,1970,0
Dut Chess,1970,0
Goethe,1970,311458
IAC,1970,0
Juliana,1970,0
Martha,1970,15045
Mistura de uvas americanas,1970,0
Moscato Embrapa,1970,0
Niagara,1970,631152
Niagara Branca,1970,0
Niagara Rosada,1970,0
Poloske,1970,0
Seleções,1970,0
Seyve Villard,1970,0
Seyve Villard 5276,1970,0
Seyve Villard 12375,1970,0
Tardia de Caxias,1970,0
Outras(2),1970,0
TINTAS,1971,193695427
Bacarina,1971,106962
Bailey,1971,0
Bordo,1971,7227090
Bourdin (S),1971,0
BRS Carmen,1971,0
BRS Cora,1971,0
BRS Magna,1971,0
BRS Margot,1971,0
BRS Morena,1971,0
BRS Núbia ,1971,0
BRS Rúbea,1971,0
BRS Violeta,1971,0
BRS Vitória,1971,0
Champagnon (Champanheta),1971,0
Coleções,1971,0
Concord,1971,3726469
Concord clone 30,1971,0
Couderc,1971,2835642
Cynthiana(1),1971,419550
Herbemont,1971,43864620
IAC 138022,1971,0
Isabel,1971,126754464
Isabel Precoce,1971,0
Jacquez,1971,203081
Kyoko,1971,0
Landot,1971,106917
Mistura de uvas americanas tinto,1971,0
Oberlin,1971,34722
Othello,1971,106190
Paco,1971,0
Patricia,1971,0
Seibel,1971,8309720
Seibel 2 (seibeleto),1971,0
Seyve Willard (Tinta),1971,0
Vênus,1971,0
BRANCAS E ROSADAS,1971,557294
Baco,1971,5873
Bokay,1971,0
BRS Bibiana ,1971,0
BRS Clara,1971,0
BRS Lorena,1971,0
Couderc 13,1971,0
Delaware,1971,22883
Dona Zillá,1971,0
Dut Chess,1971,0
Goethe,1971,267549
IAC,1971,0
Juliana,1971,0
Martha,1971,21972
Mistura de uvas americanas,1971,0
Moscato Embrapa,1971,0
Niagara,1971,239017
Niagara Branca,1971,0
