Produto,Ano,Quantidade (kg)
VINHO DE MESA,1970,98327606
  Tinto,1970,83300735
  Rosado,1970,107681
  Branco,1970,14919190
VINHO  FINO DE MESA,1970,4430629
  Tinto,1970,435354
  Rosado,1970,183234
  Branco,1970,3812041
VINHO FRIZANTE,1970,466480
VINHO ORGÂNICO,1970,0
VINHO ESPECIAL,1970,7325789
  Tinto,1970,4730346
  Rosado,1970,1229564
  Branco,1970,1365879
ESPUMANTES ,1970,2743678
  Espumante  Moscatel,1970,0
  Espumante,1970,0
  Espumante Orgânico,1970,0
SUCO DE UVAS,1970,2626855
  Suco Natural Integral,1970,0
  Suco Adoçado,1970,0
  Suco Reprocessado/reconstituido,1970,0
  Suco Orgânico,1970,0
  Outros sucos de uvas,1970,0
SUCO DE UVAS CONCENTRADO,1970,0
OUTROS PRODUTOS COMERCIALIZADOS,1970,19844550
  Outros vinhos (sem informação detalhada),1970,0
"  Agrin (fermentado, acetico misto)",1970,0
  Aguardente de vinho 50°gl,1970,0
  Alcool vinico,1970,0
  Bagaceira (graspa),1970,1192987
  Base champenoise champanha,1970,0
  Base charmat champanha,1970,0
  Base espumante moscatel,1970,0
  Bebida de uva,1970,0
  Borra líquida,1970,0
  Borra seca,1970,0
  Brandy (conhaque),1970,9388296
  Cooler,1970,0
  Coquetel com vinho,1970,0
  Destilado de vinho,1970,533987
  Filtrado doce,1970,346403
  Jeropiga,1970,0
  Mistelas,1970,178350
  Mosto concentrado,1970,44971
  Mosto de uva,1970,0
  Mosto sulfitado,1970,401030
  Nectar de uva,1970,0
  Outros produtos,1970,0
  Polpa de uva,1970,0
  Preparado líquido para refresco,1970,0
  Refrigerante +50% suco,1970,0
  Sangria,1970,0
  Vinagre balsamico,1970,0
  Vinagre duplo,1970,0
  Vinagre simples,1970,1359297
  Vinho acetificado,1970,0
  Vinho base para espumantes,1970,0
  Vinho composto,1970,3386173
  Vinho licoroso,1970,3013056
  Vinho leve,1970,0
  Vinho gaseificado,1970,0
VINHO DE MESA,1971,114399031
  Tinto,1971,98522869
  Rosado,1971,542274
  Branco,1971,15333888
VINHO  FINO DE MESA,1971,4840369
  Tinto,1971,428927
  Rosado,1971,227299
  Branco,1971,4184143
VINHO FRIZANTE,1971,358116
VINHO ORGÂNICO,1971,0
VINHO ESPECIAL,1971,7824931
  Tinto,1971,4802828
  Rosado,1971,1662821
  Branco,1971,1359282
ESPUMANTES ,1971,2907289
  Espumante  Moscatel,1971,0
  Espumante,1971,0
  Espumante Orgânico,1971,0
SUCO DE UVAS,1971,2745249
  Suco Natural Integral,1971,0
  Suco Adoçado,1971,0
  Suco Reprocessado/reconstituido,1971,0
  Suco Orgânico,1971,0
  Outros sucos de uvas,1971,0
SUCO DE UVAS CONCENTRADO,1971,0
OUTROS PRODUTOS COMERCIALIZADOS,1971,20351384
  Outros vinhos (sem informação detalhada),1971,0
"  Agrin (fermentado, acetico misto)",1971,0
  Aguardente de vinho 50°gl,1971,0
  Alcool vinico,1971,0
  Bagaceira (graspa),1971,1111014
  Base champenoise champanha,1971,0
  Base charmat champanha,1971,0
  Base espumante moscatel,1971,0
  Bebida de uva,1971,0
  Borra líquida,1971,0
  Borra seca,1971,0
  Brandy (conhaque),1971,9893167
  Cooler,1971,0
  Coquetel com vinho,1971,0
  Destilado de vinho,1971,1023876
  Filtrado doce,1971,432991
  Jeropiga,1971,0
  Mistelas,1971,81510
  Mosto concentrado,1971,20502
  Mosto de uva,1971,0
  Mosto sulfitado,1971,410850
  Nectar de uva,1971,0
  Outros produtos,1971,0
  Polpa de uva,1971,0
  Preparado líquido para refresco,1971,0
  Refrigerante +50% suco,1971,0
  Sangria,1971,0
  Vinagre balsamico,1971,0
  Vinagre duplo,1971,0
  Vinagre simples,1971,1256068
  Vinho acetificado,1971,0
  Vinho base para espumantes,1971,0
  Vinho composto,1971,3645774
  Vinho licoroso,1971,2475632
  Vinho leve,1971,0
  Vinho gaseificado,1971,0
VINHO DE MESA,1972,118377367
  Tinto,1972,101167932
  Rosado,1972,7770851
  Branco,1972,9438584
VINHO  FINO DE MESA,1972,5602091
  Tinto,1972,624499
  Rosado,1972,403664
  Branco,1972,4573928
VINHO FRIZANTE,1972,356340
VINHO ORGÂNICO,1972,0
VINHO ESPECIAL,1972,8737605
  Tinto,1972,4347706
  Rosado,1972,1901801
  Branco,1972,2488098
ESPUMANTES ,1972,3523335
  Espumante  Moscatel,1972,0
  Espumante,1972,0
  Espumante Orgânico,1972,0
SUCO DE UVAS,1972,4069351
  Suco Natural Integral,1972,0
  Suco Adoçado,1972,0
  Suco Reprocessado/reconstituido,1972,0
  Suco Orgânico,1972,0
  Outros sucos de uvas,1972,0
SUCO DE UVAS CONCENTRADO,1972,59044
OUTROS PRODUTOS COMERCIALIZADOS,1972,23615205
  Outros vinhos (sem informação detalhada),1972,0
"  Agrin (fermentado, acetico misto)",1972,0
  Aguardente de vinho 50°gl,1972,0
  Alcool vinico,1972,0
  Bagaceira (graspa),1972,1059696
  Base champenoise champanha,1972,0
  Base charmat champanha,1972,0
  Base espumante moscatel,1972,0
  Bebida de uva,1972,0
  Borra líquida,1972,0
  Borra seca,1972,0
  Brandy (conhaque),1972,11876098
  Cooler,1972,0
  Coquetel com vinho,1972,0
  Destilado de vinho,1972,1573023
  Filtrado doce,1972,670626
  Jeropiga,1972,0
  Mistelas,1972,133865
  Mosto concentrado,1972,0
  Mosto de uva,1972,0
