País,Ano,Quantidade (Kg),Valor_USD
Africa do Sul,1970,0,0
Africa do Sul,1971,0,0
Africa do Sul,1972,0,0
Africa do Sul,1973,0,0
Africa do Sul,1974,0,0
Africa do Sul,1975,0,0
Africa do Sul,1976,0,0
Africa do Sul,1977,0,0
Africa do Sul,1978,0,0
Africa do Sul,1979,0,0
Africa do Sul,1980,0,0
Africa do Sul,1981,0,0
Africa do Sul,1982,0,0
Africa do Sul,1983,0,0
Africa do Sul,1984,0,0
Africa do Sul,1985,0,0
Africa do Sul,1986,0,0
Africa do Sul,1987,0,0
Africa do Sul,1988,0,0
Africa do Sul,1989,0,0
Africa do Sul,1990,0,0
Africa do Sul,1991,0,0
Africa do Sul,1992,0,0
Africa do Sul,1993,0,0
Africa do Sul,1994,0,0
Africa do Sul,1995,0,0
Africa do Sul,1996,0,0
Africa do Sul,1997,0,0
Africa do Sul,1998,0,0
Africa do Sul,1999,0,0
Africa do Sul,2000,0,0
Africa do Sul,2001,42661,99201
Africa do Sul,2002,32194,106317
Africa do Sul,2003,157239,305701
Africa do Sul,2004,303489,665101
Africa do Sul,2005,407413,775421
Africa do Sul,2006,358870,1164032
Africa do Sul,2007,386425,1320244
Africa do Sul,2008,315380,1151699
Africa do Sul,2009,493093,1931449
Africa do Sul,2010,966276,3600658
Africa do Sul,2011,507509,2136394
Africa do Sul,2012,722327,3041449
Africa do Sul,2013,475331,1985184
Africa do Sul,2014,722715,3033932
Africa do Sul,2015,743335,2996543
Africa do Sul,2016,578829,1686226
Africa do Sul,2017,1138732,3241298
Africa do Sul,2018,1127053,3574371
Africa do Sul,2019,1092042,3604038
Africa do Sul,2020,627150,1701072
Africa do Sul,2021,859169,2508140
Africa do Sul,2022,738116,2266827
Africa do Sul,2023,522733,1732850
Africa do Sul,2024,658238,2133775
Alemanha,1970,52297,30498
Alemanha,1971,34606,26027
Alemanha,1972,134438,92103
Alemanha,1973,111523,98638
Alemanha,1974,219173,202502
Alemanha,1975,134354,149931
Alemanha,1976,168134,171308
Alemanha,1977,160926,201840
Alemanha,1978,437831,668631
Alemanha,1979,433478,691404
Alemanha,1980,457033,704307
Alemanha,1981,707194,853830
Alemanha,1982,996948,1126928
Alemanha,1983,850055,908380
