Nome,Ano,Quantidade (kg)
TINTAS,1970,10448228.0
Alicante Bouschet,1970,0.0
Ancelota,1970,0.0
Aramon,1970,0.0
Alfrocheiro,1970,0.0
Arinarnoa,1970,0.0
Aspirant Bouschet,1970,0.0
Barbera,1970,4548313.0
Bonarda,1970,1631610.0
Cabernet Franc,1970,238837.0
Cabernet Sauvignon,1970,0.0
Caladoc,1970,0.0
Campanario,1970,0.0
Canaiolo,1970,596766.0
Carignan,1970,0.0
Carmenere,1970,1235.0
Castelão,1970,0.0
Corvina,1970,0.0
Croatina,1970,0.0
Cinsaut,1970,0.0
Dom Felder,1970,0.0
Dolcetto,1970,0.0
Durif,1970,0.0
Egiodola,1970,0.0
Ekigaina,1970,0.0
Festival (Sugraone),1970,0.0
Franconia,1970,0.0
Freisa,1970,1661.0
Gamay St Romain,1970,0.0
Gamay Beaujolais,1970,0.0
Grand Noir,1970,0.0
Grenache,1970,19753.0
Jaen,1970,0.0
Lagrein,1970,0.0
Lambrusco,1970,2259.0
Malbec,1970,4097.0
Marzemina,1970,62546.0
Merlot,1970,185596.0
Marselan,1970,0.0
Mistura de uvas viníferas tinto ,1970,0.0
Molinera,1970,0.0
Montepulciano,1970,0.0
Moscato Bailey,1970,0.0
Napa Gamay,1970,0.0
Nebbiolo,1970,0.0
Petit Verdot,1970,0.0
Petite Sirah,1970,0.0
Pinotage,1970,0.0
Pinot Noir,1970,0.0
Pinot Saint George,1970,0.0
Piriquita,1970,0.0
Primitivo,1970,0.0
Rebo,1970,0.0
Refosco,1970,0.0
Rondinella,1970,0.0
Ruby Cabernet,1970,0.0
Sangiovese,1970,27566.0
Saperavi ,1970,0.0
Sira (falsa),1970,3127989.0
Tannat,1970,0.0
Tempranillo,1970,0.0
Teroldego,1970,0.0
Torrontes,1970,0.0
Tinta Barroca,1970,0.0
Tinta Roriz ,1970,0.0
Touriga Francesa,1970,0.0
Touriga Nacional,1970,0.0
Tinta Madeira,1970,0.0
Tintoria,1970,0.0
Trincdeira,1970,0.0
Trousseau,1970,0.0
Zinfandel,1970,0.0
Outras1,1970,0.0
BRANCAS E ROSADAS,1970,18858541.0
Aliatico,1970,0.0
Aligote,1970,530.0
Altesse,1970,0.0
Alvarinho,1970,0.0
Arriloba,1970,0.0
Auxerrois,1970,0.0
Burger,1970,0.0
