Ano,Mes,Precipitacao_min,Precipitacao_media,Precipitacao_max,Temperatura_min,Temperatura_media,Temperatura_max,Vento_min,Vento_media,Vento_max
2010,1,0.0,193.2,357.0,22.0,23.83,26.0,2.0,2.43,3.0
2010,2,0.0,142.0,303.0,21.0,23.86,26.0,0.0,2.25,5.0
2010,3,0.0,137.07,374.0,19.0,21.2,25.0,0.0,2.44,6.0
2010,4,0.0,156.27,339.0,19.0,19.6,21.0,0.0,2.0,3.0
2010,5,0.0,169.29,359.0,14.0,15.83,19.0,0.0,3.0,8.0
2010,6,0.0,73.93,206.0,12.0,13.67,15.0,0.0,2.0,4.0
2010,7,0.0,175.88,298.0,11.0,14.22,18.0,0.0,2.23,4.0
2010,8,0.0,41.73,115.0,10.0,13.14,15.0,0.0,2.0,5.0
2010,9,0.0,149.31,320.0,15.0,17.2,20.0,0.0,1.5,4.0
2010,10,0.0,103.12,244.0,15.0,17.5,22.0,0.0,2.38,4.0
2010,11,31.0,115.8,206.0,19.0,20.25,22.0,1.0,2.75,6.0
2010,12,54.0,160.4,325.0,13.0,20.33,25.0,3.0,3.0,3.0
2011,1,103.0,203.86,378.0,22.0,24.29,26.0,1.0,2.14,3.0
2011,2,76.0,195.0,322.0,21.0,22.78,25.0,0.0,2.78,4.0
2011,3,39.0,116.2,244.0,20.0,22.09,25.0,0.0,2.57,4.0
2011,4,47.0,111.27,211.0,18.0,20.43,22.0,0.0,1.71,3.0
2011,5,0.0,79.8,161.0,13.0,14.38,15.0,0.0,2.11,4.0
2011,6,57.0,145.31,321.0,10.0,12.86,15.0,0.0,2.67,5.0
2011,7,44.0,216.08,384.0,10.0,14.0,18.0,0.0,2.4,4.0
2011,8,88.0,240.9,590.0,14.0,15.8,17.0,0.0,2.4,4.0
2011,9,0.0,67.5,165.0,14.0,17.22,22.0,0.0,2.25,4.0
2011,10,79.0,159.38,252.0,16.0,19.71,23.0,0.0,3.0,6.0
2011,11,12.0,84.15,173.0,17.0,19.5,21.0,0.0,2.33,3.0
2011,12,24.0,73.17,225.0,12.0,20.91,26.0,0.0,3.0,6.0
2012,1,62.0,147.82,469.0,20.0,22.86,26.0,1.0,2.0,3.0
2012,2,21.0,134.67,197.0,21.0,23.5,26.0,1.0,2.4,3.0
2012,3,3.0,58.15,109.0,16.0,20.9,25.0,2.0,2.5,3.0
2012,4,25.0,141.64,269.0,18.0,20.5,23.0,1.0,1.86,3.0
2012,5,5.0,62.41,149.0,9.0,15.89,18.0,1.0,2.0,3.0
2012,6,15.0,146.69,272.0,9.0,14.3,19.0,1.0,2.17,3.0
2012,7,27.0,119.7,205.0,7.0,12.62,17.0,1.0,2.36,6.0
2012,8,0.0,50.17,137.0,10.0,16.64,20.0,1.0,2.22,4.0
2012,9,54.0,121.4,231.0,16.0,20.0,24.0,2.0,3.75,8.0
2012,10,55.0,162.08,298.0,15.0,19.56,23.0,3.0,3.5,4.0
2012,11,26.0,88.85,204.0,19.0,22.0,26.0,2.0,3.0,4.0
2012,12,26.0,237.5,375.0,22.0,24.14,27.0,1.0,2.38,5.0
2013,1,45.0,104.4,156.0,21.0,22.0,23.0,1.0,2.0,3.0
2013,2,71.0,213.62,448.0,19.0,22.25,25.0,2.0,2.2,3.0
